path,name,samgov_agencycode,samgov_cgaclist_0_cgac,samgov_cgaclist_1_cgac,samgov_cgaclist_2_cgac,samgov_cgaclist_3_cgac,samgov_cgaclist_4_cgac,samgov_createdby,samgov_createddate,samgov_fhagencyorgname,samgov_fhdeptindagencyorgid,samgov_fhorgid,samgov_fhorgname,samgov_fhorgnamehistory_0_effectivedate,samgov_fhorgnamehistory_0_fhorgname,samgov_fhorgparenthistory_0_actiontype,samgov_fhorgparenthistory_0_codehierarchy,samgov_fhorgparenthistory_0_effectivedate,samgov_fhorgparenthistory_0_fhfullparentpathid,samgov_fhorgparenthistory_0_fhfullparentpathname,samgov_fhorgtype,samgov_lastupdateddate,samgov_links_0_href,samgov_links_0_rel,samgov_links_1_href,samgov_links_1_rel,samgov_name,samgov_oldfpdsofficecode,samgov_status,samgov_updatedby
/US FEDERAL GOVERNMENT/ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD (100114157),ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD (100114157),9532,310,,,,,,2010-03-29 00:00,ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD,100114157,100114157,ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD,1957-07-01 00:00,ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD,CREATE,,1957-07-01 00:00,100114157,ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100114157,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100114157,nextlevelchildren,ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD,9532,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/ARMED FORCES RETIREMENT HOME (300000046),ARMED FORCES RETIREMENT HOME (300000046),84AF,084,,,,,IAE_DATA_TEAM,2017-10-05 12:35,ARMED FORCES RETIREMENT HOME,300000046,300000046,ARMED FORCES RETIREMENT HOME,1957-07-01 00:00,ARMED FORCES RETIREMENT HOME,CREATE,,1957-07-01 00:00,300000046,ARMED FORCES RETIREMENT HOME,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000046,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000046,nextlevelchildren,ARMED FORCES RETIREMENT HOME,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FUND (300000076),BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FUND (300000076),9560,313,,,,,IAE_DATA_TEAM,2017-10-05 12:35,BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FUND,300000076,300000076,BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FUND,1986-10-18 00:00,BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FUND,CREATE,,1986-10-18 00:00,300000076,BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FUND,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000076,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000076,nextlevelchildren,BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FUND,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/BOTANIC GARDEN (300000008),BOTANIC GARDEN (300000008),0902,009,,,,,IAE_DATA_TEAM,2017-10-05 12:35,BOTANIC GARDEN,300000008,300000008,BOTANIC GARDEN,1957-07-01 00:00,BOTANIC GARDEN,CREATE,,1957-07-01 00:00,300000008,BOTANIC GARDEN,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000008,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000008,nextlevelchildren,BOTANIC GARDEN,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/CENTRAL INTELLIGENCE AGENCY (300000038),CENTRAL INTELLIGENCE AGENCY (300000038),5600,056,,,,,IAE_DATA_TEAM,2017-10-05 12:35,CENTRAL INTELLIGENCE AGENCY,300000038,300000038,CENTRAL INTELLIGENCE AGENCY,1957-07-01 00:00,CENTRAL INTELLIGENCE AGENCY,CREATE,,1957-07-01 00:00,300000038,CENTRAL INTELLIGENCE AGENCY,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000038,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000038,nextlevelchildren,CENTRAL INTELLIGENCE AGENCY,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD (300000079),CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD (300000079),9565,510,,,,,IAE_DATA_TEAM,2017-10-05 12:35,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,300000079,300000079,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,1957-07-01 00:00,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,CREATE,,1957-07-01 00:00,300000079,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000079,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000079,nextlevelchildren,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION (300000043),CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION (300000043),7635,465,,,,,IAE_DATA_TEAM,2017-10-05 12:35,CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION,300000043,300000043,CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION,1957-07-01 00:00,CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION,CREATE,,1957-07-01 00:00,300000043,CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000043,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000043,nextlevelchildren,CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION,,ACTIVE,FPDS_START_DATE_FIX
"/US FEDERAL GOVERNMENT/COMMERCE, DEPARTMENT OF (100035122)","COMMERCE, DEPARTMENT OF (100035122)",1300,013,,,,,,1996-07-30 00:00,"COMMERCE, DEPARTMENT OF",100035122,100035122,"COMMERCE, DEPARTMENT OF",1957-07-01 00:00,"COMMERCE, DEPARTMENT OF",CREATE,,1957-07-01 00:00,100035122,"COMMERCE, DEPARTMENT OF",Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100035122,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100035122,nextlevelchildren,"COMMERCE, DEPARTMENT OF",1300,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/COMMISSION FOR THE PRESERVATION OF AMERICA'S HERITAGE ABROAD (300000758),COMMISSION FOR THE PRESERVATION OF AMERICA'S HERITAGE ABROAD (300000758),9567,321,,,,,DATA TEAM,2017-12-11 15:45,COMMISSION FOR THE PRESERVATION OF AMERICA'S HERITAGE ABROAD,300000758,300000758,COMMISSION FOR THE PRESERVATION OF AMERICA'S HERITAGE ABROAD,1957-07-01 00:00,COMMISSION FOR THE PRESERVATION OF AMERICA'S HERITAGE ABROAD,CREATE,,1957-07-01 00:00,300000758,COMMISSION FOR THE PRESERVATION OF AMERICA'S HERITAGE ABROAD,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000758,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000758,nextlevelchildren,COMMISSION FOR THE PRESERVATION OF AMERICA'S HERITAGE ABROAD,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/COMMISSION OF FINE ARTS (300000066),COMMISSION OF FINE ARTS (300000066),9537,323,,,,,IAE_DATA_TEAM,2017-10-05 12:35,COMMISSION OF FINE ARTS,300000066,300000066,COMMISSION OF FINE ARTS,1957-07-01 00:00,COMMISSION OF FINE ARTS,CREATE,,1957-07-01 00:00,300000066,COMMISSION OF FINE ARTS,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000066,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000066,nextlevelchildren,COMMISSION OF FINE ARTS,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/COMMISSION ON CIVIL RIGHTS (100002723),COMMISSION ON CIVIL RIGHTS (100002723),9517,326,,,,,MIGRATOR,1996-07-30 00:00,COMMISSION ON CIVIL RIGHTS,100002723,100002723,COMMISSION ON CIVIL RIGHTS,1957-07-01 00:00,COMMISSION ON CIVIL RIGHTS,CREATE,,1957-07-01 00:00,100002723,COMMISSION ON CIVIL RIGHTS,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100002723,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100002723,nextlevelchildren,COMMISSION ON CIVIL RIGHTS,9517,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/COMMISSION ON SECURITY AND COOPERATION IN EUROPE (300000695),COMMISSION ON SECURITY AND COOPERATION IN EUROPE (300000695),0901,009,,,,,DATA TEAM,2017-12-19 13:16,COMMISSION ON SECURITY AND COOPERATION IN EUROPE,300000695,300000695,COMMISSION ON SECURITY AND COOPERATION IN EUROPE,1957-07-01 00:00,COMMISSION ON SECURITY AND COOPERATION IN EUROPE,CREATE,,1957-07-01 00:00,300000695,COMMISSION ON SECURITY AND COOPERATION IN EUROPE,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000695,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000695,nextlevelchildren,COMMISSION ON SECURITY AND COOPERATION IN EUROPE,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED (300000059),COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED (300000059),9518,338,,,,,IAE_DATA_TEAM,2017-10-05 12:35,COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,300000059,300000059,COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,1957-07-01 00:00,COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,CREATE,,1957-07-01 00:00,300000059,COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000059,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000059,nextlevelchildren,COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/COMMODITY FUTURES TRADING COMMISSION (100002228),COMMODITY FUTURES TRADING COMMISSION (100002228),9507,339,,,,,,1996-07-30 00:00,COMMODITY FUTURES TRADING COMMISSION,100002228,100002228,COMMODITY FUTURES TRADING COMMISSION,1957-07-01 00:00,COMMODITY FUTURES TRADING COMMISSION,CREATE,,1957-07-01 00:00,100002228,COMMODITY FUTURES TRADING COMMISSION,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100002228,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100002228,nextlevelchildren,COMMODITY FUTURES TRADING COMMISSION,9507,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/CONGRESSIONAL BUDGET OFFICE (300000007),CONGRESSIONAL BUDGET OFFICE (300000007),0800,008,,,,,IAE_DATA_TEAM,2017-10-05 12:35,CONGRESSIONAL BUDGET OFFICE,300000007,300000007,CONGRESSIONAL BUDGET OFFICE,1957-07-01 00:00,CONGRESSIONAL BUDGET OFFICE,CREATE,,1957-07-01 00:00,300000007,CONGRESSIONAL BUDGET OFFICE,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000007,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000007,nextlevelchildren,CONGRESSIONAL BUDGET OFFICE,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/CONSUMER FINANCIAL PROTECTION BUREAU (300000075),CONSUMER FINANCIAL PROTECTION BUREAU (300000075),955F,581,,,,,IAE_DATA_TEAM,2017-10-05 12:35,CONSUMER FINANCIAL PROTECTION BUREAU,300000075,300000075,CONSUMER FINANCIAL PROTECTION BUREAU,2010-07-21 00:00,CONSUMER FINANCIAL PROTECTION BUREAU,CREATE,,2010-07-21 00:00,300000075,CONSUMER FINANCIAL PROTECTION BUREAU,Department/Ind. Agency,2019-09-14 18:41,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000075,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000075,nextlevelchildren,CONSUMER FINANCIAL PROTECTION BUREAU,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/CONSUMER PRODUCT SAFETY COMMISSION (300000039),CONSUMER PRODUCT SAFETY COMMISSION (300000039),6100,061,,,,,IAE_DATA_TEAM,2017-10-05 12:35,CONSUMER PRODUCT SAFETY COMMISSION,300000039,300000039,CONSUMER PRODUCT SAFETY COMMISSION,1957-07-01 00:00,CONSUMER PRODUCT SAFETY COMMISSION,CREATE,,1957-07-01 00:00,300000039,CONSUMER PRODUCT SAFETY COMMISSION,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000039,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000039,nextlevelchildren,CONSUMER PRODUCT SAFETY COMMISSION,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/CORPORATION FOR NATIONAL AND COMMUNITY SERVICE (100076164),CORPORATION FOR NATIONAL AND COMMUNITY SERVICE (100076164),9577,485,,,,,LJOHNSON@CNS.GOV,2003-10-14 00:00,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,100076164,100076164,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,1957-07-01 00:00,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,CREATE,,1957-07-01 00:00,100076164,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100076164,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100076164,nextlevelchildren,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,9577,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/COURT SERVICES AND OFFENDER SUPERVISION AGENCY (300000084),COURT SERVICES AND OFFENDER SUPERVISION AGENCY (300000084),9594,511,,,,,IAE_DATA_TEAM,2017-10-05 12:35,COURT SERVICES AND OFFENDER SUPERVISION AGENCY,300000084,300000084,COURT SERVICES AND OFFENDER SUPERVISION AGENCY,1957-07-01 00:00,COURT SERVICES AND OFFENDER SUPERVISION AGENCY,CREATE,,1957-07-01 00:00,300000084,COURT SERVICES AND OFFENDER SUPERVISION AGENCY,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000084,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000084,nextlevelchildren,COURT SERVICES AND OFFENDER SUPERVISION AGENCY,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/DEFENSE NUCLEAR FACILITIES SAFETY BOARD (300000058),DEFENSE NUCLEAR FACILITIES SAFETY BOARD (300000058),9516,347,,,,,IAE_DATA_TEAM,2017-10-05 12:35,DEFENSE NUCLEAR FACILITIES SAFETY BOARD,300000058,300000058,DEFENSE NUCLEAR FACILITIES SAFETY BOARD,1957-07-01 00:00,DEFENSE NUCLEAR FACILITIES SAFETY BOARD,CREATE,,1957-07-01 00:00,300000058,DEFENSE NUCLEAR FACILITIES SAFETY BOARD,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000058,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000058,nextlevelchildren,DEFENSE NUCLEAR FACILITIES SAFETY BOARD,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/DELTA REGIONAL AUTHORITY (300000071),DELTA REGIONAL AUTHORITY (300000071),9547,517,,,,,IAE_DATA_TEAM,2017-10-05 12:35,DELTA REGIONAL AUTHORITY,300000071,300000071,DELTA REGIONAL AUTHORITY,1957-07-01 00:00,DELTA REGIONAL AUTHORITY,CREATE,,1957-07-01 00:00,300000071,DELTA REGIONAL AUTHORITY,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000071,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000071,nextlevelchildren,DELTA REGIONAL AUTHORITY,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/DENALI COMMISSION (100114164),DENALI COMMISSION (100114164),9572,513,,,,,,2010-03-29 00:00,DENALI COMMISSION,100114164,100114164,DENALI COMMISSION,1957-07-01 00:00,DENALI COMMISSION,CREATE,,1957-07-01 00:00,100114164,DENALI COMMISSION,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100114164,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100114164,nextlevelchildren,DENALI COMMISSION,9572,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/DEPT OF DEFENSE (100000000),DEPT OF DEFENSE (100000000),9700,097,096,017,021,057,,2006-04-14 00:00,DEPT OF DEFENSE,100000000,100000000,DEPT OF DEFENSE,1957-07-01 00:00,DEPT OF DEFENSE,CREATE,,1957-07-01 00:00,100000000,DEPT OF DEFENSE,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100000000,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100000000,nextlevelchildren,DEPT OF DEFENSE,9700,ACTIVE,FPDS_START_DATE_FIX
