path,name,cisagov
/US FEDERAL GOVERNMENT/[cisagov] Consumer Financial Protection Bureau,[cisagov] Consumer Financial Protection Bureau,"{'name': 'Consumer Financial Protection Bureau', 'records': [{'domain_name': 'BCFP.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Consumer Financial Protection Bureau', 'organization': 'Consumer Financial Protection Bureau', 'city': 'Washington', 'state': 'DC', 'security_contact_email': 'security@cfpb.gov'}, {'domain_name': 'CFPA.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Consumer Financial Protection Bureau', 'organization': 'Consumer Financial Protection Bureau', 'city': 'Washington', 'state': 'DC', 'security_contact_email': 'security@cfpb.gov'}, {'domain_name': 'CFPB.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Consumer Financial Protection Bureau', 'organization': 'Consumer Financial Protection Bureau', 'city': 'Washington', 'state': 'DC', 'security_contact_email': 'security@cfpb.gov'}, {'domain_name': 'CONSUMERBUREAU.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Consumer Financial Protection Bureau', 'organization': 'Consumer Financial Protection Bureau', 'city': 'Washington', 'state': 'DC', 'security_contact_email': 'security@cfpb.gov'}, {'domain_name': 'CONSUMERFINANCE.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Consumer Financial Protection Bureau', 'organization': 'Consumer Financial Protection Bureau', 'city': 'Washington', 'state': 'DC', 'security_contact_email': 'security@cfpb.gov'}, {'domain_name': 'CONSUMERFINANCIAL.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Consumer Financial Protection Bureau', 'organization': 'Consumer Financial Protection Bureau', 'city': 'Washington', 'state': 'DC', 'security_contact_email': 'security@cfpb.gov'}, {'domain_name': 'CONSUMERFINANCIALBUREAU.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Consumer Financial Protection Bureau', 'organization': 'Consumer Financial Protection Bureau', 'city': 'Washington', 'state': 'DC', 'security_contact_email': 'security@cfpb.gov'}, {'domain_name': 'CONSUMERFINANCIALPROTECTIONBUREAU.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Consumer Financial Protection Bureau', 'organization': 'Consumer Financial Protection Bureau', 'city': 'Washington', 'state': 'DC', 'security_contact_email': 'security@cfpb.gov'}, {'domain_name': 'CONSUMERPROTECTION.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Consumer Financial Protection Bureau', 'organization': 'Consumer Financial Protection Bureau', 'city': 'Washington', 'state': 'DC', 'security_contact_email': 'security@cfpb.gov'}, {'domain_name': 'CONSUMERPROTECTIONBUREAU.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Consumer Financial Protection Bureau', 'organization': 'Consumer Financial Protection Bureau', 'city': 'Washington', 'state': 'DC', 'security_contact_email': 'security@cfpb.gov'}, {'domain_name': 'MIMM.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Consumer Financial Protection Bureau', 'organization': 'Consumer Financial Protection Bureau', 'city': 'Washington', 'state': 'DC', 'security_contact_email': 'security@cfpb.gov'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Consumer Product Safety Commission,[cisagov] Consumer Product Safety Commission,"{'name': 'Consumer Product Safety Commission', 'records': [{'domain_name': 'ANCHORIT.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Consumer Product Safety Commission', 'organization': 'Consumer Product Safety Commission', 'city': 'Bethesda', 'state': 'MD', 'security_contact_email': 'csirt@cpsc.gov'}, {'domain_name': 'ATVSAFETY.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Consumer Product Safety Commission', 'organization': 'Consumer Product Safety Commission', 'city': 'Bethesda', 'state': 'MD', 'security_contact_email': 'csirt@cpsc.gov'}, {'domain_name': 'CPSC.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Consumer Product Safety Commission', 'organization': 'Consumer Product Safety Commission', 'city': 'Bethesda', 'state': 'MD', 'security_contact_email': 'csirt@cpsc.gov'}, {'domain_name': 'RECALLS.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Consumer Product Safety Commission', 'organization': 'Consumer Product Safety Commission', 'city': 'Bethesda', 'state': 'MD', 'security_contact_email': 'csirt@cpsc.gov'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Consumer Product Safety Commission/[cisagov] US Consumer Product Safety Commission,[cisagov] US Consumer Product Safety Commission,"{'name': 'US Consumer Product Safety Commission', 'records': [{'domain_name': 'DRYWALLRESPONSE.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Consumer Product Safety Commission', 'organization': 'US Consumer Product Safety Commission', 'city': 'Bethesda', 'state': 'MD', 'security_contact_email': 'csirt@cpsc.gov'}, {'domain_name': 'POOLSAFELY.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Consumer Product Safety Commission', 'organization': 'US Consumer Product Safety Commission', 'city': 'Bethesda', 'state': 'MD', 'security_contact_email': 'csirt@cpsc.gov'}, {'domain_name': 'POOLSAFETY.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Consumer Product Safety Commission', 'organization': 'US Consumer Product Safety Commission', 'city': 'Bethesda', 'state': 'MD', 'security_contact_email': 'csirt@cpsc.gov'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Consumer Product Safety Commission/[cisagov] U.S. Consumer Product Safety Commission,[cisagov] U.S. Consumer Product Safety Commission,"{'name': 'U.S. Consumer Product Safety Commission', 'records': [{'domain_name': 'SAFERPRODUCT.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Consumer Product Safety Commission', 'organization': 'U.S. Consumer Product Safety Commission', 'city': 'Bethesda', 'state': 'MD', 'security_contact_email': 'csirt@cpsc.gov'}, {'domain_name': 'SAFERPRODUCTS.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Consumer Product Safety Commission', 'organization': 'U.S. Consumer Product Safety Commission', 'city': 'Bethesda', 'state': 'MD', 'security_contact_email': 'csirt@cpsc.gov'}, {'domain_name': 'SEGURIDADCONSUMIDOR.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Consumer Product Safety Commission', 'organization': 'U.S. Consumer Product Safety Commission', 'city': 'Bethesda', 'state': 'MD', 'security_contact_email': 'csirt@cpsc.gov'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Defense Nuclear Facilities Safety Board,[cisagov] Defense Nuclear Facilities Safety Board,"{'name': 'Defense Nuclear Facilities Safety Board', 'records': [{'domain_name': 'DNFSB.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Defense Nuclear Facilities Safety Board', 'organization': 'Defense Nuclear Facilities Safety Board', 'city': 'Washington', 'state': 'DC', 'security_contact_email': 'cyberalerts@dnfsb.gov'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Delta Regional Authority,[cisagov] Delta Regional Authority,"{'name': 'Delta Regional Authority', 'records': [{'domain_name': 'DRA.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Delta Regional Authority', 'organization': 'Delta Regional Authority', 'city': 'Clarksdale', 'state': 'MS', 'security_contact_email': '(blank)'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Denali Commission,[cisagov] Denali Commission,"{'name': 'Denali Commission', 'records': [{'domain_name': 'DENALI.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Denali Commission', 'organization': 'Denali Commission', 'city': 'Anchorage', 'state': 'AK', 'security_contact_email': 'jherrick@denali.gov'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Department of Defense,[cisagov] Department of Defense,"{'name': 'Department of Defense', 'records': [{'domain_name': 'MTMC.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Defense', 'organization': 'Department of Defense', 'city': 'Alexandria', 'state': 'VA', 'security_contact_email': '(blank)'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Department of Defense/[cisagov] Advanced Distributed Learning Initiative,[cisagov] Advanced Distributed Learning Initiative,"{'name': 'Advanced Distributed Learning Initiative', 'records': [{'domain_name': 'ADLNET.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Defense', 'organization': 'Advanced Distributed Learning Initiative', 'city': 'Washington', 'state': 'DC', 'security_contact_email': 'cybersecurity@adlnet.gov'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Department of Defense/[cisagov] AFTAC,[cisagov] AFTAC,"{'name': 'AFTAC', 'records': [{'domain_name': 'AFTAC.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Defense', 'organization': 'AFTAC', 'city': 'Patrick AFB', 'state': 'FL', 'security_contact_email': 'dco@aftac.gov'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Department of Defense/[cisagov] aftac,[cisagov] aftac,"{'name': 'aftac', 'records': [{'domain_name': 'ALTUSANDC.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Defense', 'organization': 'aftac', 'city': 'Patrick AFB', 'state': 'FL', 'security_contact_email': 'dco@aftac.gov'}]}"
"/US FEDERAL GOVERNMENT/[cisagov] Department of Defense/[cisagov] Office of the Under Secretary of Defense for Acquisition, Technology and Logistics","[cisagov] Office of the Under Secretary of Defense for Acquisition, Technology and Logistics","{'name': 'Office of the Under Secretary of Defense for Acquisition, Technology and Logistics', 'records': [{'domain_name': 'BUSINESSDEFENSE.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Defense', 'organization': 'Office of the Under Secretary of Defense for Acquisition, Technology and Logistics', 'city': 'Washington', 'state': 'DC', 'security_contact_email': '(blank)'}]}"
"/US FEDERAL GOVERNMENT/[cisagov] Department of Defense/[cisagov] CIVIL AIR PATROL, USAF AUX.","[cisagov] CIVIL AIR PATROL, USAF AUX.","{'name': 'CIVIL AIR PATROL, USAF AUX.', 'records': [{'domain_name': 'CAP.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Defense', 'organization': 'CIVIL AIR PATROL, USAF AUX.', 'city': 'Maxwell AFB', 'state': 'AL', 'security_contact_email': 'capadmin@capnhq.gov'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Department of Defense/[cisagov] Civil Air Patrol,[cisagov] Civil Air Patrol,"{'name': 'Civil Air Patrol', 'records': [{'domain_name': 'CAPNHQ.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Defense', 'organization': 'Civil Air Patrol', 'city': 'Maxwell AFB', 'state': 'AL', 'security_contact_email': 'capadmin@capnhq.gov'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Department of Defense/[cisagov] US Army Corps of Engineers,[cisagov] US Army Corps of Engineers,"{'name': 'US Army Corps of Engineers', 'records': [{'domain_name': 'CMTS.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Defense', 'organization': 'US Army Corps of Engineers', 'city': 'Mobile', 'state': 'AL', 'security_contact_email': '(blank)'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Department of Defense/[cisagov] CNSS Secretariat,[cisagov] CNSS Secretariat,"{'name': 'CNSS Secretariat', 'records': [{'domain_name': 'CNSS.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Defense', 'organization': 'CNSS Secretariat', 'city': 'Fort Meade', 'state': 'MD', 'security_contact_email': '(blank)'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Department of Defense/[cisagov] MCTFT,[cisagov] MCTFT,"{'name': 'MCTFT', 'records': [{'domain_name': 'CTOC.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Defense', 'organization': 'MCTFT', 'city': 'Starke', 'state': 'FL', 'security_contact_email': '(blank)'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Department of Defense/[cisagov] Combating Terrorism Technical Support Office,[cisagov] Combating Terrorism Technical Support Office,"{'name': 'Combating Terrorism Technical Support Office', 'records': [{'domain_name': 'CTTSO.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Defense', 'organization': 'Combating Terrorism Technical Support Office', 'city': 'Arlington', 'state': 'VA', 'security_contact_email': '(blank)'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Department of Defense/[cisagov] Defense Cyber Crime Center,[cisagov] Defense Cyber Crime Center,"{'name': 'Defense Cyber Crime Center', 'records': [{'domain_name': 'DC3ON.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Defense', 'organization': 'Defense Cyber Crime Center', 'city': 'Linthicum', 'state': 'MD', 'security_contact_email': '(blank)'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Department of Defense/[cisagov] Defense Media Activity,[cisagov] Defense Media Activity,"{'name': 'Defense Media Activity', 'records': [{'domain_name': 'DEFENSE.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Defense', 'organization': 'Defense Media Activity', 'city': 'Fort Meade', 'state': 'MD', 'security_contact_email': 'pubwebhd@defense.gov'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Department of Defense/[cisagov] FEHRM,[cisagov] FEHRM,"{'name': 'FEHRM', 'records': [{'domain_name': 'FEHRM.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Defense', 'organization': 'FEHRM', 'city': 'Rosslyn', 'state': 'VA', 'security_contact_email': 'christopher.c.wallace.civ@health.mil'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Department of Defense/[cisagov] Federal Voting Assistance Program,[cisagov] Federal Voting Assistance Program,"{'name': 'Federal Voting Assistance Program', 'records': [{'domain_name': 'FVAP.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Defense', 'organization': 'Federal Voting Assistance Program', 'city': 'Alexandria', 'state': 'VA', 'security_contact_email': '(blank)'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Department of Defense/[cisagov] PEO DHMS,[cisagov] PEO DHMS,"{'name': 'PEO DHMS', 'records': [{'domain_name': 'HIVE.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Defense', 'organization': 'PEO DHMS', 'city': 'Rosslyn', 'state': 'VA', 'security_contact_email': 'christopher.c.wallace.civ@health.mil'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Department of Defense/[cisagov] National Security Agency,[cisagov] National Security Agency,"{'name': 'National Security Agency', 'records': [{'domain_name': 'IAD.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Defense', 'organization': 'National Security Agency', 'city': 'Fort Meade', 'state': 'MD', 'security_contact_email': 'Njsause@nsa.gov'}, {'domain_name': 'INTELLIGENCECAREERS.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Defense', 'organization': 'National Security Agency', 'city': 'Fort Meade', 'state': 'MD', 'security_contact_email': '(blank)'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Department of Defense/[cisagov] Interagency OPSEC Support Staff,[cisagov] Interagency OPSEC Support Staff,"{'name': 'Interagency OPSEC Support Staff', 'records': [{'domain_name': 'IOSS.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Defense', 'organization': 'Interagency OPSEC Support Staff', 'city': 'Greenbelt', 'state': 'MD', 'security_contact_email': '(blank)'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Department of Defense/[cisagov] Interagency Training Center,[cisagov] Interagency Training Center,"{'name': 'Interagency Training Center', 'records': [{'domain_name': 'ITC.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Defense', 'organization': 'Interagency Training Center', 'city': 'Fort Washington', 'state': 'MD', 'security_contact_email': 'itcrowd@itc.gov'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Department of Defense/[cisagov] Irregular Warfare Technical Support Directorate,[cisagov] Irregular Warfare Technical Support Directorate,"{'name': 'Irregular Warfare Technical Support Directorate', 'records': [{'domain_name': 'IWTSD.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Defense', 'organization': 'Irregular Warfare Technical Support Directorate', 'city': 'Alexandria', 'state': 'VA', 'security_contact_email': '(blank)'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Department of Defense/[cisagov] Defense Logistics Agency,[cisagov] Defense Logistics Agency,"{'name': 'Defense Logistics Agency', 'records': [{'domain_name': 'JCCS.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Defense', 'organization': 'Defense Logistics Agency', 'city': 'Alexandria', 'state': 'VA', 'security_contact_email': '(blank)'}]}"
"/US FEDERAL GOVERNMENT/[cisagov] Department of Defense/[cisagov] National Security Agency, Laboratory for Physical Sciences","[cisagov] National Security Agency, Laboratory for Physical Sciences","{'name': 'National Security Agency, Laboratory for Physical Sciences', 'records': [{'domain_name': 'LPS.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Defense', 'organization': 'National Security Agency, Laboratory for Physical Sciences', 'city': 'College Park', 'state': 'MD', 'security_contact_email': '(blank)'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Department of Defense/[cisagov] Defense Finance and Accounting Service,[cisagov] Defense Finance and Accounting Service,"{'name': 'Defense Finance and Accounting Service', 'records': [{'domain_name': 'MYPAY.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Defense', 'organization': 'Defense Finance and Accounting Service', 'city': 'Pensacola', 'state': 'FL', 'security_contact_email': '(blank)'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Department of Defense/[cisagov] OFFICE OF WARRIOR CARE POLICY,[cisagov] OFFICE OF WARRIOR CARE POLICY,"{'name': 'OFFICE OF WARRIOR CARE POLICY', 'records': [{'domain_name': 'NATIONALRESOURCEDIRECTORY.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Defense', 'organization': 'OFFICE OF WARRIOR CARE POLICY', 'city': 'Arlington', 'state': 'VA', 'security_contact_email': '(blank)'}, {'domain_name': 'NRD.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Defense', 'organization': 'OFFICE OF WARRIOR CARE POLICY', 'city': 'Arlington', 'state': 'VA', 'security_contact_email': '(blank)'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Department of Defense/[cisagov] Defense Counterintelligence and Security Agency,[cisagov] Defense Counterintelligence and Security Agency,"{'name': 'Defense Counterintelligence and Security Agency', 'records': [{'domain_name': 'NBIB.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Defense', 'organization': 'Defense Counterintelligence and Security Agency', 'city': 'Washington', 'state': 'DC', 'security_contact_email': 'kevin.crews@opm.gov'}, {'domain_name': 'E-QIP.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Office of Personnel Management', 'organization': 'Defense Counterintelligence and Security Agency', 'city': 'Washington', 'state': 'DC', 'security_contact_email': 'kevin.crews@opm.gov'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Department of Defense/[cisagov] NRO,[cisagov] NRO,"{'name': 'NRO', 'records': [{'domain_name': 'NRO.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Defense', 'organization': 'NRO', 'city': 'Chantilly', 'state': 'VA', 'security_contact_email': 'bakersir@nro.mil'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Department of Defense/[cisagov] NSA,[cisagov] NSA,"{'name': 'NSA', 'records': [{'domain_name': 'NSA.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Defense', 'organization': 'NSA', 'city': 'Fort Meade', 'state': 'MD', 'security_contact_email': 'ea_dns@nsa.gov'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Department of Defense/[cisagov] National Security Education Program (NSEP) at DLNSEO,[cisagov] National Security Education Program (NSEP) at DLNSEO,"{'name': 'National Security Education Program (NSEP) at DLNSEO', 'records': [{'domain_name': 'NSEP.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Defense', 'organization': 'National Security Education Program (NSEP) at DLNSEO', 'city': 'Alexandria', 'state': 'VA', 'security_contact_email': 'nsep@nsep.gov'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Department of Defense/[cisagov] Office of Economic Adjustment,[cisagov] Office of Economic Adjustment,"{'name': 'Office of Economic Adjustment', 'records': [{'domain_name': 'OEA.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Defense', 'organization': 'Office of Economic Adjustment', 'city': 'Arlington', 'state': 'VA', 'security_contact_email': 'james.v.evans29.civ@mail.mil'}]}"
/US FEDERAL GOVERNMENT/[cisagov] Department of Defense/[cisagov] Office of Local Defense Community Cooperation,[cisagov] Office of Local Defense Community Cooperation,"{'name': 'Office of Local Defense Community Cooperation', 'records': [{'domain_name': 'OLDCC.GOV', 'domain_type': 'Federal - Executive', 'agency': 'Department of Defense', 'organization': 'Office of Local Defense Community Cooperation', 'city': 'Arlington', 'state': 'VA', 'security_contact_email': 'oea.ncr.OEA.mbx.oea-it-security@mail.mil'}]}"
