path,name,digitalregistry
/US FEDERAL GOVERNMENT/[digitalregistry] Department of Agriculture (2098),[digitalregistry] Department of Agriculture (2098),"{'id': 2098, 'name': 'Department of Agriculture', 'url': 'https://usda.gov', 'abbreviation': 'USDA', 'domain': 'usda.gov', 'digital_analytics_path': 'agriculture', 'mission_statement': 'To serve all Americans by providing effective, innovative, science-based public policy leadership in agriculture, food and nutrition, natural resource protection and management, rural development, and related issues with a commitment to deliver equitable and climate-smart opportunities that inspire and help America thrive.', 'mission_statement_url': 'https://www.usda.gov/', 'performance_url': 'https://www.usda.gov/our-agency/about-usda/performance', 'strategic_plan_url': 'https://www.usda.gov/obpa/home', 'learning_agenda_url': 'https://www.usda.gov/our-agency/about-usda/performance', 'cfo_act_agency': True, 'digital_service_accounts': [{'name': 'U.S. Department of Agriculture', 'contacts': [], 'service': 'facebook', 'service_url': 'http://facebook.com/usda', 'account': 'Facebook', 'language': 'English', 'status': 'published', 'tags': ['Merrigan', 'Vilsack', 'USDA', 'food safety', 'nutrition', 'rural', 'agriculture']}]}"
/US FEDERAL GOVERNMENT/[digitalregistry] US Geological Survey (2104),[digitalregistry] US Geological Survey (2104),"{'id': 2104, 'name': 'US Geological Survey', 'url': 'https://www.usgs.gov/', 'abbreviation': 'USGS', 'domain': 'usgs.gov', 'cfo_act_agency': False, 'digital_service_accounts': [{'name': 'USGS (Facebook)', 'contacts': [{'email': 'everettel@usgs.gov'}, {'email': 'shorvath@usgs.gov'}], 'service': 'facebook', 'service_url': 'http://facebook.com/USGeologicalSurvey', 'account': 'Facebook', 'language': 'English', 'status': 'published', 'short_description': '', 'long_description': '', 'tags': ['tools', 'technology', 'data', 'news', 'volcanoes', 'tsunamis', 'landslides', 'floods', 'hurricanes', 'wildfires', 'geology', 'Maps', 'geography', 'biology', 'earthquakes', 'natural hazards', 'minerals', 'ecosystems', 'Climate change', 'science', 'environment', 'Energy', 'water']}]}"
/US FEDERAL GOVERNMENT/[digitalregistry] Department of the Interior (2135),[digitalregistry] Department of the Interior (2135),"{'id': 2135, 'name': 'Department of the Interior', 'url': 'https://www.doi.gov/', 'abbreviation': 'DOI', 'domain': 'doi.gov', 'digital_analytics_path': '', 'mission_statement': 'Protect and manage the Nation’s natural resources and cultural heritage; provide scientific and other information about those resources; and honor its trust responsibilities or special commitments to American Indians, Alaska Natives, Native Hawaiians, and affiliated Island Communities.', 'mission_statement_url': 'https://www.doi.gov/', 'performance_url': 'https://www.doi.gov/performance/performance-reports', 'strategic_plan_url': 'https://www.doi.gov/performance/strategic-planning', 'learning_agenda_url': 'https://www.doi.gov/performance/evidence-doi', 'cfo_act_agency': True, 'digital_service_accounts': [{'name': 'USGS (Facebook)', 'contacts': [{'email': 'everettel@usgs.gov'}, {'email': 'shorvath@usgs.gov'}], 'service': 'facebook', 'service_url': 'http://facebook.com/USGeologicalSurvey', 'account': 'Facebook', 'language': 'English', 'status': 'published', 'short_description': '', 'long_description': '', 'tags': ['tools', 'technology', 'data', 'news', 'volcanoes', 'tsunamis', 'landslides', 'floods', 'hurricanes', 'wildfires', 'geology', 'Maps', 'geography', 'biology', 'earthquakes', 'natural hazards', 'minerals', 'ecosystems', 'Climate change', 'science', 'environment', 'Energy', 'water']}]}"
/US FEDERAL GOVERNMENT/[digitalregistry] National Oceanic and Atmospheric Administration (2166),[digitalregistry] National Oceanic and Atmospheric Administration (2166),"{'id': 2166, 'name': 'National Oceanic and Atmospheric Administration', 'url': 'https://www.noaa.gov/', 'abbreviation': 'NOAA', 'domain': 'noaa.gov', 'digital_analytics_path': '', 'mission_statement': '', 'cfo_act_agency': False, 'digital_service_accounts': [{'name': 'National Ocean Service', 'contacts': [], 'service': 'facebook', 'service_url': 'http://facebook.com/usoceangov', 'account': 'Facebook', 'language': 'English', 'status': 'published', 'short_description': ""NOAA's National Ocean Service is the nation's premier federal science agency for ocean and coasts. This is the official Facebook account of NOAA's National Ocean Service."", 'long_description': 'The National Ocean Service (NOS) is on the front lines in understanding, predicting, and responding to the challenges facing our ocean and coasts. \r\n\r\nMore than half of the U.S. population lives in coastal areas, including the Great Lakes. Coastal areas contribute $7.9 trillion to the U.S. economy.\r\n\r\nTo keep coastal communities, economies, and environments safe, NOS is protecting and restoring coastal habitats, reducing impacts associated with coastal development and other uses, and protecting coastal water quality and quantity to prevent illness and sustain ecosystems. We are working to enhance coastal resiliency and reduce impacts from coastal hazards such as spills, storms, and climate change. Website: http://oceanservice.noaa.gov/ \r\n', 'tags': ['national marine sanctuaries', 'marine protected areas', 'currents', 'tides', 'geodesy', 'coast', 'surveying', 'nautical charts', 'ocean', 'science', 'environment']}]}"
/US FEDERAL GOVERNMENT/[digitalregistry] Office of Personnel Management  (2106),[digitalregistry] Office of Personnel Management  (2106),"{'id': 2106, 'name': 'Office of Personnel Management ', 'url': 'https://www.opm.gov/', 'abbreviation': 'OPM', 'domain': 'opm.gov', 'digital_analytics_path': '', 'mission_statement': 'We are champions of talent for the Federal Government. We lead Federal agencies in workforce policies, programs, and benefits in service to the American people.', 'mission_statement_url': 'https://www.opm.gov/', 'performance_url': 'https://www.opm.gov/about-us/budget-performance/', 'strategic_plan_url': 'https://www.opm.gov/about-us/strategic-plan/', 'learning_agenda_url': 'https://www.opm.gov/about-us/strategic-plan/evidence-building/learning-agenda', 'cfo_act_agency': True, 'digital_service_accounts': [{'name': 'Office of Personnel and Management', 'contacts': [], 'service': 'facebook', 'service_url': 'http://facebook.com/USOPM', 'account': 'Facebook', 'language': 'English', 'status': 'published', 'short_description': 'Facebook USOPM', 'long_description': '', 'tags': []}]}"
/US FEDERAL GOVERNMENT/[digitalregistry] US Fish and Wildlife (2128),[digitalregistry] US Fish and Wildlife (2128),"{'id': 2128, 'name': 'US Fish and Wildlife', 'url': 'https://fws.gov/', 'abbreviation': 'FWS', 'domain': 'fws.gov', 'cfo_act_agency': False, 'digital_service_accounts': [{'name': 'USFWS Ash Meadows National Wildlife Refuge', 'contacts': [{'email': 'michael_dagostino@fws.gov'}, {'email': 'rebecca_fabbri@fws.gov'}], 'service': 'facebook', 'service_url': 'https://facebook.com/AshMeadowsNWR', 'account': 'Facebook', 'language': 'English', 'status': 'published', 'short_description': 'Located in Nevada', 'long_description': '', 'tags': []}]}"
/US FEDERAL GOVERNMENT/[digitalregistry] Environmental Protection Agency (2095),[digitalregistry] Environmental Protection Agency (2095),"{'id': 2095, 'name': 'Environmental Protection Agency', 'url': 'https://www.epa.gov/', 'abbreviation': 'EPA', 'domain': 'epa.gov', 'digital_analytics_path': '', 'mission_statement': 'To Protect Human Health and the Environment', 'mission_statement_url': 'https://www.epa.gov/', 'performance_url': 'https://www.epa.gov/planandbudget', 'strategic_plan_url': 'https://www.epa.gov/planandbudget/strategicplan', 'learning_agenda_url': 'https://www.epa.gov/evaluate', 'cfo_act_agency': True, 'digital_products': [{'contacts': [{'email': 'widener.charles@epa.gov'}], 'language': 'English', 'status': 'published', 'short_description': 'Practice sun safety; check the UV Index and air quality ratings wherever you are.', 'long_description': ""<p>Note: To install the UV Index App on an Android device outside of Android's Google Play, you will need to enable Unknown Sources. On your Android phone, go to Settings and Application Settings and check the Unknown Sources checkbox. After the UV Index App is downloaded and installed, you may uncheck the Unknown Sources checkbox.</p><p>Use your mobile device to check the UV Index and air quality ratings wherever you are.</p>"", 'tags': []}], 'digital_service_accounts': []}"
/US FEDERAL GOVERNMENT/[digitalregistry] Library of Congress (2169),[digitalregistry] Library of Congress (2169),"{'id': 2169, 'name': 'Library of Congress', 'url': 'https://loc.gov/', 'abbreviation': 'LOC', 'domain': 'loc.gov', 'digital_analytics_path': '', 'mission_statement': '', 'cfo_act_agency': False, 'digital_products': [{'contacts': [], 'language': 'English', 'status': 'published', 'short_description': 'Read the daily edition of the Congressional Record on your iPad.', 'long_description': '<p>Read the daily edition of the Congressional Record on your iPad, iPhone or iTouch. The Congressional Record App is presented by the Library of Congress using data provided by the Office of the Clerk of the U.S. House of Representatives, the Office of the Secretary of the Senate, and the Government Printing Office.</p><p>With this app you can:</p><ul><li>Browse editions of the Congressional Record by date: January 4, 1995 (the 104th Congress, 1st Session) to the present</li><li>Copy text within documents</li><li>Perform keyword searches within individual documents or sections within documents</li><li>Share documents via email</li><li>Save documents to your preferred PDF reader</li><li>Identify the latest bills and resolutions considered daily on the floor of the U.S. House of Representatives</li><li>Identify the latest bills, resolutions, treaties, and nominations considered daily on the floor of the U.S. Senate</li></ul><p>The Congressional Record contains the debates, proceedings, and activities of the Congress of the United States. The Congressional Record is published in four parts: House of Representatives, Senate, Extension of Remarks, and Daily Digest. The Daily Digest provides a summary of the day’s activities.</p></div>', 'tags': []}], 'digital_service_accounts': []}"
/US FEDERAL GOVERNMENT/[digitalregistry] National Institutes of Health (2142),[digitalregistry] National Institutes of Health (2142),"{'id': 2142, 'name': 'National Institutes of Health', 'url': 'https://www.nih.gov/', 'abbreviation': 'NIH', 'domain': 'nih.gov', 'cfo_act_agency': False, 'digital_service_accounts': [{'name': 'Instituto Nacional del Cáncer', 'contacts': [], 'service': 'facebook', 'service_url': 'http://facebook.com/cancer.govEspanol', 'account': 'Facebook', 'language': 'Spanish', 'status': 'published', 'short_description': 'El Instituto Nacional del Cáncer (NCI) es la agencia federal de los Estados Unidos dedicada a la investigación del cáncer.', 'long_description': '¡Bienvenidos a la cuenta oficial del NCI! El Instituto Nacional del Cáncer (NCI) es la agencia federal de los Estados Unidos dedicada a la investigación del cáncer. Conéctese aquí, llame al 1-800-422-6237 o visite www.cancer.gov/espanol. For questions about this account, please contact Meghan Alleyne or Carolina Spencer. For overall questions about NCI social media, please contact Jennifer Dorsey. For emergencies related to this account, please contact Meghan Alleyne, Carolina Spencer or Jennifer Dorsey.', 'tags': ['cancer', 'research']}]}"
/US FEDERAL GOVERNMENT/[digitalregistry] Department of Energy (2110),[digitalregistry] Department of Energy (2110),"{'id': 2110, 'name': 'Department of Energy', 'url': 'https://www.energy.gov/', 'abbreviation': 'DOE', 'domain': 'doe.gov', 'digital_analytics_path': '', 'mission_statement': '', 'mission_statement_url': 'https://www.energy.gov/', 'performance_url': 'https://www.energy.gov/budget-performance', 'strategic_plan_url': 'https://www.energy.gov/budget-performance', 'learning_agenda_url': 'https://www.evaluation.gov/agencies/department-of-energy/', 'cfo_act_agency': True, 'digital_service_accounts': [{'name': 'Office of Energy Efficiency and Renewable Energy', 'contacts': [], 'service': 'facebook', 'service_url': 'http://facebook.com/eeregov', 'account': 'Facebook', 'language': 'English', 'status': 'published', 'tags': []}]}"
/US FEDERAL GOVERNMENT/[digitalregistry] Federal Energy Regulatory Commission (2153),[digitalregistry] Federal Energy Regulatory Commission (2153),"{'id': 2153, 'name': 'Federal Energy Regulatory Commission', 'url': 'https://ferc.gov/', 'abbreviation': 'FERC', 'domain': 'ferc.gov', 'digital_analytics_path': '', 'cfo_act_agency': False, 'digital_service_accounts': [{'name': 'Federal Energy Regulatory Commission', 'contacts': [], 'service': 'twitter', 'service_url': 'http://twitter.com/ferc', 'account': 'Twitter', 'language': 'English', 'status': 'published', 'short_description': '', 'long_description': '', 'tags': []}]}"
/US FEDERAL GOVERNMENT/[digitalregistry] Corporation for National and Community Service (2175),[digitalregistry] Corporation for National and Community Service (2175),"{'id': 2175, 'name': 'Corporation for National and Community Service', 'url': 'https://americorps.gov/', 'abbreviation': 'AMERICORPS', 'domain': 'americorps.gov', 'digital_analytics_path': '', 'mission_statement': '', 'cfo_act_agency': False, 'digital_service_accounts': [{'name': 'AmeriCorps', 'contacts': [], 'service': 'youtube', 'service_url': 'http://youtube.com/nationalservice', 'account': 'Youtube', 'language': 'English', 'status': 'published', 'short_description': 'AmeriCorps, a federal agency, brings people together to tackle the country’s most pressing challenges, through national service and volunteering. ', 'long_description': 'AmeriCorps, a federal agency, brings people together to tackle the country’s most pressing challenges, through national service and volunteering.  AmeriCorps members and AmeriCorps Seniors volunteers serve with organizations dedicated to the improvement of communities.  AmeriCorps helps make service to others a cornerstone of our national culture.  Learn more at AmeriCorps.gov.', 'tags': []}]}"
/US FEDERAL GOVERNMENT/[digitalregistry] Federal Reserve Board (2271),[digitalregistry] Federal Reserve Board (2271),"{'id': 2271, 'name': 'Federal Reserve Board', 'url': 'https://www.federalreserve.gov/', 'abbreviation': 'FRB', 'domain': 'frb.gov', 'digital_analytics_path': '', 'mission_statement': '', 'cfo_act_agency': False, 'digital_service_accounts': [{'name': 'Federal Reserve', 'contacts': [{'email': 'laura.milner@frb.gov'}], 'service': 'youtube', 'service_url': 'http://youtube.com/FedReserveBoard', 'account': 'Youtube', 'language': 'English', 'status': 'published', 'short_description': '', 'long_description': '', 'tags': []}], 'digital_products': []}"
/US FEDERAL GOVERNMENT/[digitalregistry] Board of Governors of the Federal Reserve System (2256),[digitalregistry] Board of Governors of the Federal Reserve System (2256),"{'id': 2256, 'name': 'Board of Governors of the Federal Reserve System', 'url': 'https://www.federalreserve.gov/', 'abbreviation': 'FEDRESERVE', 'domain': 'federalreserve.gov', 'digital_analytics_path': '', 'mission_statement': '', 'cfo_act_agency': False, 'digital_service_accounts': [{'name': 'Federal Reserve', 'contacts': [{'email': 'laura.milner@frb.gov'}], 'service': 'youtube', 'service_url': 'http://youtube.com/FedReserveBoard', 'account': 'Youtube', 'language': 'English', 'status': 'published', 'short_description': '', 'long_description': '', 'tags': []}]}"
/US FEDERAL GOVERNMENT/[digitalregistry] Health Resources & Services Administration (2108),[digitalregistry] Health Resources & Services Administration (2108),"{'id': 2108, 'name': 'Health Resources & Services Administration', 'url': 'https://www.hrsa.gov/', 'abbreviation': 'HRSA', 'domain': 'hrsa.gov', 'digital_analytics_path': '', 'mission_statement': '', 'cfo_act_agency': False, 'digital_service_accounts': [{'name': 'HRSATube', 'contacts': [{'email': 'ocsocialmedia@hrsa.gov'}], 'service': 'youtube', 'service_url': 'http://youtube.com/hrsatube', 'account': 'Youtube', 'language': 'English', 'status': 'published', 'short_description': 'Official Youtube channel for HRSA', 'long_description': '', 'tags': []}]}"
/US FEDERAL GOVERNMENT/[digitalregistry] Department of State (2130),[digitalregistry] Department of State (2130),"{'id': 2130, 'name': 'Department of State', 'url': 'https://www.state.gov', 'abbreviation': 'DOS', 'domain': 'state.gov', 'digital_analytics_path': '', 'mission_statement': 'To protect and promote U.S. security, prosperity, and democratic values and shape an international environment in which all Americans can thrive.', 'mission_statement_url': 'https://www.state.gov/', 'performance_url': 'https://www.state.gov/plans-performance-budget/performance-plans-and-reports/', 'strategic_plan_url': 'https://www.state.gov/joint-strategic-plan/', 'learning_agenda_url': 'https://www.evaluation.gov/agencies/department-of-state/', 'cfo_act_agency': True, 'digital_service_accounts': [{'name': 'U.S. Department of State', 'contacts': [], 'service': 'instagram', 'service_url': 'https://www.instagram.com/statedept/', 'account': 'Instagram', 'language': 'English', 'status': 'published', 'short_description': '', 'long_description': '', 'tags': []}]}"
/US FEDERAL GOVERNMENT/[digitalregistry] Consumer Product Safety Commission (2195),[digitalregistry] Consumer Product Safety Commission (2195),"{'id': 2195, 'name': 'Consumer Product Safety Commission', 'url': 'https://www.cpsc.gov/', 'abbreviation': 'CPSC', 'domain': 'cpsc.gov', 'digital_analytics_path': '', 'mission_statement': '', 'cfo_act_agency': False, 'digital_service_accounts': [{'name': 'Consumer Product Safety Commission', 'contacts': [{'email': 'jgalbo@cpsc.gov'}], 'service': 'flickr', 'service_url': 'http://flickr.com/photos/uscpsc', 'account': 'Flickr', 'language': 'English', 'status': 'published', 'short_description': 'Official Flickr account of the Consumer Product Safety Commission', 'long_description': '', 'tags': []}]}"
/US FEDERAL GOVERNMENT/[digitalregistry] Federal Trade Commission (2205),[digitalregistry] Federal Trade Commission (2205),"{'id': 2205, 'name': 'Federal Trade Commission', 'url': 'https://www.ftc.gov/', 'abbreviation': 'FTC', 'domain': 'ftc.gov', 'digital_analytics_path': '', 'mission_statement': '', 'cfo_act_agency': False, 'digital_service_accounts': [{'name': 'FTC Chief Technologist', 'contacts': [], 'service': 'twitter', 'service_url': 'http://twitter.com/techFTC', 'account': 'Twitter', 'language': 'English', 'status': 'published', 'short_description': ""FTC's technology Twitter page managed by agency's Chief Technologist (currently vacant)"", 'long_description': '', 'tags': []}]}"
/US FEDERAL GOVERNMENT/[digitalregistry] Architect of the Capitol (2249),[digitalregistry] Architect of the Capitol (2249),"{'id': 2249, 'name': 'Architect of the Capitol', 'url': 'https://www.aoc.gov/', 'abbreviation': 'AOC', 'domain': 'aoc.gov', 'digital_analytics_path': '', 'mission_statement': '', 'cfo_act_agency': False, 'digital_service_accounts': [{'name': 'Architect of the Capitol', 'contacts': [], 'service': 'flickr', 'service_url': 'http://flickr.com/photos/uscapitol', 'account': 'Flickr', 'language': 'English', 'status': 'published', 'short_description': 'Serve | Preserve | Inspire — Stewards of the iconic buildings and grounds of Capitol Hill since 1793.', 'long_description': 'Serving Congress and the Supreme Court, the Architect of the Capitol (AOC) is the builder and steward of the landmark buildings and grounds of Capitol Hill. The AOC staff preserves and maintains the historic buildings, monuments, art and inspirational gardens on the Capitol campus. Recognizing the trust placed in us by Congress and the American people, the AOC team is committed to providing a safe environment and inspiring experiences for all who work and visit the symbol of American democracy.', 'tags': ['legislative branch', 'Capitol']}]}"
