path,name,budget
/US FEDERAL GOVERNMENT/[budget] Executive Office of the President (100)/[budget] Council on Environmental Quality and Office of Environmental Quality (100-25),[budget] Council on Environmental Quality and Office of Environmental Quality (100-25),"{'budget_level': 'bureau', 'agency_code': 100, 'agency_name': 'Executive Office of the President', 'bureau_code': 25, 'bureau_name': 'Council on Environmental Quality and Office of Environmental Quality', '2019': 3000, '2020': 1000, '2021': 3000, '2022': 4000, '2023': 17000, '2024': 17000, 'name': 'Council on Environmental Quality and Office of Environmental Quality', 'id': '100-25'}"
/US FEDERAL GOVERNMENT/[budget] Executive Office of the President (100)/[budget] National Space Council (100-40),[budget] National Space Council (100-40),"{'budget_level': 'bureau', 'agency_code': 100, 'agency_name': 'Executive Office of the President', 'bureau_code': 40, 'bureau_name': 'National Space Council', '2019': 1000, '2020': 1000, '2021': 0, '2022': 2000, '2023': 4000, '2024': 2000, 'name': 'National Space Council', 'id': '100-40'}"
/US FEDERAL GOVERNMENT/[budget] Executive Office of the President (100)/[budget] Office of the  National Cyber Director (100-37),[budget] Office of the  National Cyber Director (100-37),"{'budget_level': 'bureau', 'agency_code': 100, 'agency_name': 'Executive Office of the President', 'bureau_code': 37, 'bureau_name': 'Office of the  National Cyber Director', '2019': 0, '2020': 0, '2021': 0, '2022': 3000, '2023': 29000, '2024': 25000, 'name': 'Office of the  National Cyber Director', 'id': '100-37'}"
/US FEDERAL GOVERNMENT/[budget] Executive Office of the President (100)/[budget] National Security Council and Homeland Security Council (100-35),[budget] National Security Council and Homeland Security Council (100-35),"{'budget_level': 'bureau', 'agency_code': 100, 'agency_name': 'Executive Office of the President', 'bureau_code': 35, 'bureau_name': 'National Security Council and Homeland Security Council', '2019': 12000, '2020': 8000, '2021': 13000, '2022': 12000, '2023': 22000, '2024': 18000, 'name': 'National Security Council and Homeland Security Council', 'id': '100-35'}"
/US FEDERAL GOVERNMENT/[budget] Executive Office of the President (100)/[budget] Special Assistance to the President and the Official Residence of the Vice President (100-15),[budget] Special Assistance to the President and the Official Residence of the Vice President (100-15),"{'budget_level': 'bureau', 'agency_code': 100, 'agency_name': 'Executive Office of the President', 'bureau_code': 15, 'bureau_name': 'Special Assistance to the President and the Official Residence of the Vice President', '2019': 5000, '2020': 4000, '2021': 5000, '2022': 5000, '2023': 6000, '2024': 7000, 'name': 'Special Assistance to the President and the Official Residence of the Vice President', 'id': '100-15'}"
/US FEDERAL GOVERNMENT/[budget] Executive Office of the President (100)/[budget] Office of Administration (100-50),[budget] Office of Administration (100-50),"{'budget_level': 'bureau', 'agency_code': 100, 'agency_name': 'Executive Office of the President', 'bureau_code': 50, 'bureau_name': 'Office of Administration', '2019': 102000, '2020': 86000, '2021': 100000, '2022': 93000, '2023': 131000, '2024': 122000, 'name': 'Office of Administration', 'id': '100-50'}"
/US FEDERAL GOVERNMENT/[budget] Executive Office of the President (100)/[budget] Unanticipated Needs (100-95),[budget] Unanticipated Needs (100-95),"{'budget_level': 'bureau', 'agency_code': 100, 'agency_name': 'Executive Office of the President', 'bureau_code': 95, 'bureau_name': 'Unanticipated Needs', '2019': 46000, '2020': 16000, '2021': 27000, '2022': 44000, '2023': 69000, '2024': 105000, 'name': 'Unanticipated Needs', 'id': '100-95'}"
/US FEDERAL GOVERNMENT/[budget] Executive Office of the President (100)/[budget] Executive Residence at the White House (100-10),[budget] Executive Residence at the White House (100-10),"{'budget_level': 'bureau', 'agency_code': 100, 'agency_name': 'Executive Office of the President', 'bureau_code': 10, 'bureau_name': 'Executive Residence at the White House', '2019': 14000, '2020': 15000, '2021': 14000, '2022': 17000, '2023': 16000, '2024': 19000, 'name': 'Executive Residence at the White House', 'id': '100-10'}"
/US FEDERAL GOVERNMENT/[budget] Executive Office of the President (100)/[budget] Office of Management and Budget (100-55),[budget] Office of Management and Budget (100-55),"{'budget_level': 'bureau', 'agency_code': 100, 'agency_name': 'Executive Office of the President', 'bureau_code': 55, 'bureau_name': 'Office of Management and Budget', '2019': 103000, '2020': 106000, '2021': 106000, '2022': 109000, '2023': 133000, '2024': 142000, 'name': 'Office of Management and Budget', 'id': '100-55'}"
/US FEDERAL GOVERNMENT/[budget] Executive Office of the President (100)/[budget] Office of Science and Technology Policy (100-65),[budget] Office of Science and Technology Policy (100-65),"{'budget_level': 'bureau', 'agency_code': 100, 'agency_name': 'Executive Office of the President', 'bureau_code': 65, 'bureau_name': 'Office of Science and Technology Policy', '2019': 5000, '2020': 5000, '2021': 5000, '2022': 6000, '2023': 8000, '2024': 8000, 'name': 'Office of Science and Technology Policy', 'id': '100-65'}"
/US FEDERAL GOVERNMENT/[budget] Commodity Futures Trading Commission (339),[budget] Commodity Futures Trading Commission (339),"{'budget_level': 'agency', 'agency_code': 339, 'agency_name': 'Commodity Futures Trading Commission', '2019': 261000, '2020': 316000, '2021': 314000, '2022': 126000, '2023': 422000, '2024': 296000, 'name': 'Commodity Futures Trading Commission', 'id': '339'}"
/US FEDERAL GOVERNMENT/[budget] Commodity Futures Trading Commission (339)/[budget] Commodity Futures Trading Commission (339-0),[budget] Commodity Futures Trading Commission (339-0),"{'budget_level': 'bureau', 'agency_code': 339, 'agency_name': 'Commodity Futures Trading Commission', 'bureau_code': 0, 'bureau_name': 'Commodity Futures Trading Commission', '2019': 261000, '2020': 316000, '2021': 314000, '2022': 126000, '2023': 422000, '2024': 296000, 'name': 'Commodity Futures Trading Commission', 'id': '339-0'}"
/US FEDERAL GOVERNMENT/[budget] Advisory Council on Historic Preservation (306),[budget] Advisory Council on Historic Preservation (306),"{'budget_level': 'agency', 'agency_code': 306, 'agency_name': 'Advisory Council on Historic Preservation', '2019': 10000, '2020': 8000, '2021': 8000, '2022': 7000, '2023': 11000, '2024': 10000, 'name': 'Advisory Council on Historic Preservation', 'id': '306'}"
/US FEDERAL GOVERNMENT/[budget] Advisory Council on Historic Preservation (306)/[budget] Advisory Council on Historic Preservation (306-0),[budget] Advisory Council on Historic Preservation (306-0),"{'budget_level': 'bureau', 'agency_code': 306, 'agency_name': 'Advisory Council on Historic Preservation', 'bureau_code': 0, 'bureau_name': 'Advisory Council on Historic Preservation', '2019': 10000, '2020': 8000, '2021': 8000, '2022': 7000, '2023': 11000, '2024': 10000, 'name': 'Advisory Council on Historic Preservation', 'id': '306-0'}"
/US FEDERAL GOVERNMENT/[budget] National Association of Registered Agents and Brokers (543),[budget] National Association of Registered Agents and Brokers (543),"{'budget_level': 'agency', 'agency_code': 543, 'agency_name': 'National Association of Registered Agents and Brokers', '2019': 0, '2020': 0, '2021': 0, '2022': 0, '2023': 2000, '2024': 2000, 'name': 'National Association of Registered Agents and Brokers', 'id': '543'}"
/US FEDERAL GOVERNMENT/[budget] National Association of Registered Agents and Brokers (543)/[budget] National Association of Registered Agents and Brokers (543-0),[budget] National Association of Registered Agents and Brokers (543-0),"{'budget_level': 'bureau', 'agency_code': 543, 'agency_name': 'National Association of Registered Agents and Brokers', 'bureau_code': 0, 'bureau_name': 'National Association of Registered Agents and Brokers', '2019': 0, '2020': 0, '2021': 0, '2022': 0, '2023': 2000, '2024': 2000, 'name': 'National Association of Registered Agents and Brokers', 'id': '543-0'}"
/US FEDERAL GOVERNMENT/[budget] Nuclear Waste Technical Review Board (431),[budget] Nuclear Waste Technical Review Board (431),"{'budget_level': 'agency', 'agency_code': 431, 'agency_name': 'Nuclear Waste Technical Review Board', '2019': 3000, '2020': 3000, '2021': 4000, '2022': 5000, '2023': 4000, '2024': 4000, 'name': 'Nuclear Waste Technical Review Board', 'id': '431'}"
/US FEDERAL GOVERNMENT/[budget] Nuclear Waste Technical Review Board (431)/[budget] Nuclear Waste Technical Review Board (431-0),[budget] Nuclear Waste Technical Review Board (431-0),"{'budget_level': 'bureau', 'agency_code': 431, 'agency_name': 'Nuclear Waste Technical Review Board', 'bureau_code': 0, 'bureau_name': 'Nuclear Waste Technical Review Board', '2019': 3000, '2020': 3000, '2021': 4000, '2022': 5000, '2023': 4000, '2024': 4000, 'name': 'Nuclear Waste Technical Review Board', 'id': '431-0'}"
/US FEDERAL GOVERNMENT/[budget] Northern Border Regional Commission (573),[budget] Northern Border Regional Commission (573),"{'budget_level': 'agency', 'agency_code': 573, 'agency_name': 'Northern Border Regional Commission', '2019': 6000, '2020': 5000, '2021': 8000, '2022': 17000, '2023': 35000, '2024': 51000, 'name': 'Northern Border Regional Commission', 'id': '573'}"
/US FEDERAL GOVERNMENT/[budget] Northern Border Regional Commission (573)/[budget] Northern Border Regional Commission (573-0),[budget] Northern Border Regional Commission (573-0),"{'budget_level': 'bureau', 'agency_code': 573, 'agency_name': 'Northern Border Regional Commission', 'bureau_code': 0, 'bureau_name': 'Northern Border Regional Commission', '2019': 6000, '2020': 5000, '2021': 8000, '2022': 17000, '2023': 35000, '2024': 51000, 'name': 'Northern Border Regional Commission', 'id': '573-0'}"
/US FEDERAL GOVERNMENT/[budget] Federal Election Commission (360),[budget] Federal Election Commission (360),"{'budget_level': 'agency', 'agency_code': 360, 'agency_name': 'Federal Election Commission', '2019': 65000, '2020': 74000, '2021': 72000, '2022': 71000, '2023': 94000, '2024': 92000, 'name': 'Federal Election Commission', 'id': '360'}"
/US FEDERAL GOVERNMENT/[budget] Federal Election Commission (360)/[budget] Federal Election Commission (360-0),[budget] Federal Election Commission (360-0),"{'budget_level': 'bureau', 'agency_code': 360, 'agency_name': 'Federal Election Commission', 'bureau_code': 0, 'bureau_name': 'Federal Election Commission', '2019': 65000, '2020': 74000, '2021': 72000, '2022': 71000, '2023': 94000, '2024': 92000, 'name': 'Federal Election Commission', 'id': '360-0'}"
/US FEDERAL GOVERNMENT/[budget] Harry S Truman Scholarship Foundation (372),[budget] Harry S Truman Scholarship Foundation (372),"{'budget_level': 'agency', 'agency_code': 372, 'agency_name': 'Harry S Truman Scholarship Foundation', '2019': 2000, '2020': 2000, '2021': 2000, '2022': 2000, '2023': 3000, '2024': 3000, 'name': 'Harry S Truman Scholarship Foundation', 'id': '372'}"
/US FEDERAL GOVERNMENT/[budget] Harry S Truman Scholarship Foundation (372)/[budget] Harry S Truman Scholarship Foundation (372-0),[budget] Harry S Truman Scholarship Foundation (372-0),"{'budget_level': 'bureau', 'agency_code': 372, 'agency_name': 'Harry S Truman Scholarship Foundation', 'bureau_code': 0, 'bureau_name': 'Harry S Truman Scholarship Foundation', '2019': 2000, '2020': 2000, '2021': 2000, '2022': 2000, '2023': 3000, '2024': 3000, 'name': 'Harry S Truman Scholarship Foundation', 'id': '372-0'}"
/US FEDERAL GOVERNMENT/[budget] United States Court of Appeals for Veterans Claims (345),[budget] United States Court of Appeals for Veterans Claims (345),"{'budget_level': 'agency', 'agency_code': 345, 'agency_name': 'United States Court of Appeals for Veterans Claims', '2019': 35000, '2020': 36000, '2021': 40000, '2022': 43000, '2023': 53000, '2024': 50000, 'name': 'United States Court of Appeals for Veterans Claims', 'id': '345'}"
/US FEDERAL GOVERNMENT/[budget] United States Court of Appeals for Veterans Claims (345)/[budget] United States Court of Appeals for Veterans Claims (345-0),[budget] United States Court of Appeals for Veterans Claims (345-0),"{'budget_level': 'bureau', 'agency_code': 345, 'agency_name': 'United States Court of Appeals for Veterans Claims', 'bureau_code': 0, 'bureau_name': 'United States Court of Appeals for Veterans Claims', '2019': 35000, '2020': 36000, '2021': 40000, '2022': 43000, '2023': 53000, '2024': 50000, 'name': 'United States Court of Appeals for Veterans Claims', 'id': '345-0'}"
/US FEDERAL GOVERNMENT/[budget] National Science Foundation (422),[budget] National Science Foundation (422),"{'budget_level': 'agency', 'agency_code': 422, 'agency_name': 'National Science Foundation', '2019': 7261000, '2020': 7300000, '2021': 7377000, '2022': 8133000, '2023': 9311000, '2024': 10591000, 'name': 'National Science Foundation', 'id': '422'}"
/US FEDERAL GOVERNMENT/[budget] National Science Foundation (422)/[budget] National Science Foundation (422-0),[budget] National Science Foundation (422-0),"{'budget_level': 'bureau', 'agency_code': 422, 'agency_name': 'National Science Foundation', 'bureau_code': 0, 'bureau_name': 'National Science Foundation', '2019': 7261000, '2020': 7300000, '2021': 7377000, '2022': 8133000, '2023': 9311000, '2024': 10591000, 'name': 'National Science Foundation', 'id': '422-0'}"
/US FEDERAL GOVERNMENT/[budget] National Science Foundation (422)/[budget] National Science Foundation (422-0)/[budget] Office of Inspector General (422-0-300),[budget] Office of Inspector General (422-0-300),"{'budget_level': 'account', 'agency_code': 422, 'agency_name': 'National Science Foundation', 'bureau_code': 0, 'bureau_name': 'National Science Foundation', 'account_code': 300, 'account_name': 'Office of Inspector General', '2019': 16000, '2020': 16000, '2021': 16000, '2022': 19000, '2023': 22000, '2024': 26000, 'name': 'Office of Inspector General', 'id': '422-0-300'}"
/US FEDERAL GOVERNMENT/[budget] National Science Foundation (422)/[budget] National Science Foundation (422-0)/[budget] Office of the National Science Board (422-0-350),[budget] Office of the National Science Board (422-0-350),"{'budget_level': 'account', 'agency_code': 422, 'agency_name': 'National Science Foundation', 'bureau_code': 0, 'bureau_name': 'National Science Foundation', 'account_code': 350, 'account_name': 'Office of the National Science Board', '2019': 5000, '2020': 4000, '2021': 4000, '2022': 5000, '2023': 5000, '2024': 5000, 'name': 'Office of the National Science Board', 'id': '422-0-350'}"
/US FEDERAL GOVERNMENT/[budget] Court Services and Offender Supervision Agency for the District of Columbia (511),[budget] Court Services and Offender Supervision Agency for the District of Columbia (511),"{'budget_level': 'agency', 'agency_code': 511, 'agency_name': 'Court Services and Offender Supervision Agency for the District of Columbia', '2019': 243000, '2020': 232000, '2021': 224000, '2022': 234000, '2023': 274000, '2024': 294000, 'name': 'Court Services and Offender Supervision Agency for the District of Columbia', 'id': '511'}"
/US FEDERAL GOVERNMENT/[budget] Court Services and Offender Supervision Agency for the District of Columbia (511)/[budget] Court Services and Offender Supervision Agency for the District of Columbia (511-0),[budget] Court Services and Offender Supervision Agency for the District of Columbia (511-0),"{'budget_level': 'bureau', 'agency_code': 511, 'agency_name': 'Court Services and Offender Supervision Agency for the District of Columbia', 'bureau_code': 0, 'bureau_name': 'Court Services and Offender Supervision Agency for the District of Columbia', '2019': 243000, '2020': 232000, '2021': 224000, '2022': 234000, '2023': 274000, '2024': 294000, 'name': 'Court Services and Offender Supervision Agency for the District of Columbia', 'id': '511-0'}"
/US FEDERAL GOVERNMENT/[budget] Social Security Administration (16),[budget] Social Security Administration (16),"{'budget_level': 'agency', 'agency_code': 16, 'agency_name': 'Social Security Administration', '2019': 93552000, '2020': 97992000, '2021': 92730000, '2022': 111915000, '2023': 114170000, '2024': 119380000, 'name': 'Social Security Administration', 'id': '16'}"
/US FEDERAL GOVERNMENT/[budget] Social Security Administration (16)/[budget] Social Security Administration (16-0),[budget] Social Security Administration (16-0),"{'budget_level': 'bureau', 'agency_code': 16, 'agency_name': 'Social Security Administration', 'bureau_code': 0, 'bureau_name': 'Social Security Administration', '2019': 93552000, '2020': 97992000, '2021': 92730000, '2022': 111915000, '2023': 114170000, '2024': 119380000, 'name': 'Social Security Administration', 'id': '16-0'}"
/US FEDERAL GOVERNMENT/[budget] Social Security Administration (16)/[budget] Social Security Administration (16-0)/[budget] Office of Inspector General (16-0-400),[budget] Office of Inspector General (16-0-400),"{'budget_level': 'account', 'agency_code': 16, 'agency_name': 'Social Security Administration', 'bureau_code': 0, 'bureau_name': 'Social Security Administration', 'account_code': 400, 'account_name': 'Office of Inspector General', '2019': 27000, '2020': 30000, '2021': 33000, '2022': 26000, '2023': 34000, '2024': 34000, 'name': 'Office of Inspector General', 'id': '16-0-400'}"
/US FEDERAL GOVERNMENT/[budget] Social Security Administration (16)/[budget] Social Security Administration (16-0)/[budget] Supplemental Security Income Program (16-0-406),[budget] Supplemental Security Income Program (16-0-406),"{'budget_level': 'account', 'agency_code': 16, 'agency_name': 'Social Security Administration', 'bureau_code': 0, 'bureau_name': 'Social Security Administration', 'account_code': 406, 'account_name': 'Supplemental Security Income Program', '2019': 60336000, '2020': 60807000, '2021': 60154000, '2022': 65708000, '2023': 65183000, '2024': 62582000, 'name': 'Supplemental Security Income Program', 'id': '16-0-406'}"
/US FEDERAL GOVERNMENT/[budget] Department of Housing and Urban Development (25),[budget] Department of Housing and Urban Development (25),"{'budget_level': 'agency', 'agency_code': 25, 'agency_name': 'Department of Housing and Urban Development', '2019': 29193000, '2020': 33190000, '2021': 35081000, '2022': 29308000, '2023': 61657000, '2024': 77578000, 'name': 'Department of Housing and Urban Development', 'id': '25'}"
/US FEDERAL GOVERNMENT/[budget] Department of Housing and Urban Development (25)/[budget] Fair Housing and Equal Opportunity (25-29),[budget] Fair Housing and Equal Opportunity (25-29),"{'budget_level': 'bureau', 'agency_code': 25, 'agency_name': 'Department of Housing and Urban Development', 'bureau_code': 29, 'bureau_name': 'Fair Housing and Equal Opportunity', '2019': 60000, '2020': 65000, '2021': 66000, '2022': 65000, '2023': 79000, '2024': 83000, 'name': 'Fair Housing and Equal Opportunity', 'id': '25-29'}"
/US FEDERAL GOVERNMENT/[budget] Department of Housing and Urban Development (25)/[budget] Public and Indian Housing Programs (25-3),[budget] Public and Indian Housing Programs (25-3),"{'budget_level': 'bureau', 'agency_code': 25, 'agency_name': 'Department of Housing and Urban Development', 'bureau_code': 3, 'bureau_name': 'Public and Indian Housing Programs', '2019': 29828000, '2020': 32390000, '2021': 33704000, '2022': 35159000, '2023': 39402000, '2024': 43862000, 'name': 'Public and Indian Housing Programs', 'id': '25-3'}"
/US FEDERAL GOVERNMENT/[budget] Department of Housing and Urban Development (25)/[budget] Public and Indian Housing Programs (25-3)/[budget] Indian Housing Loan Guarantee Fund Program (25-3-223),[budget] Indian Housing Loan Guarantee Fund Program (25-3-223),"{'budget_level': 'account', 'agency_code': 25, 'agency_name': 'Department of Housing and Urban Development', 'bureau_code': 3, 'bureau_name': 'Public and Indian Housing Programs', 'account_code': 223, 'account_name': 'Indian Housing Loan Guarantee Fund Program', '2019': 24000, '2020': 3000, '2021': 22000, '2022': 3000, '2023': 5000, '2024': 4000, 'name': 'Indian Housing Loan Guarantee Fund Program', 'id': '25-3-223'}"
/US FEDERAL GOVERNMENT/[budget] Department of Housing and Urban Development (25)/[budget] Management and Administration (25-35),[budget] Management and Administration (25-35),"{'budget_level': 'bureau', 'agency_code': 25, 'agency_name': 'Department of Housing and Urban Development', 'bureau_code': 35, 'bureau_name': 'Management and Administration', '2019': 1679000, '2020': 1799000, '2021': 1948000, '2022': 2010000, '2023': 2395000, '2024': 2426000, 'name': 'Management and Administration', 'id': '25-35'}"
/US FEDERAL GOVERNMENT/[budget] Department of Housing and Urban Development (25)/[budget] Management and Administration (25-35)/[budget] Program Offices (25-35-479),[budget] Program Offices (25-35-479),"{'budget_level': 'account', 'agency_code': 25, 'agency_name': 'Department of Housing and Urban Development', 'bureau_code': 35, 'bureau_name': 'Management and Administration', 'account_code': 479, 'account_name': 'Program Offices', '2019': 0, '2020': 746000, '2021': 872000, '2022': 947000, '2023': 1101000, '2024': 1156000, 'name': 'Program Offices', 'id': '25-35-479'}"
/US FEDERAL GOVERNMENT/[budget] Department of Housing and Urban Development (25)/[budget] Management and Administration (25-35)/[budget] Office of Inspector General (25-35-189),[budget] Office of Inspector General (25-35-189),"{'budget_level': 'account', 'agency_code': 25, 'agency_name': 'Department of Housing and Urban Development', 'bureau_code': 35, 'bureau_name': 'Management and Administration', 'account_code': 189, 'account_name': 'Office of Inspector General', '2019': 127000, '2020': 127000, '2021': 140000, '2022': 144000, '2023': 121000, '2024': 147000, 'name': 'Office of Inspector General', 'id': '25-35-189'}"
/US FEDERAL GOVERNMENT/[budget] Department of Housing and Urban Development (25)/[budget] Housing Programs (25-9),[budget] Housing Programs (25-9),"{'budget_level': 'bureau', 'agency_code': 25, 'agency_name': 'Department of Housing and Urban Development', 'bureau_code': 9, 'bureau_name': 'Housing Programs', '2019': -9412000, '2020': -3260000, '2021': -6703000, '2022': -12568000, '2023': 4684000, '2024': 10195000, 'name': 'Housing Programs', 'id': '25-9'}"
/US FEDERAL GOVERNMENT/[budget] Department of Housing and Urban Development (25)/[budget] Housing Programs (25-9)/[budget] Green and Resilient Retrofit Program for Multifamily Housing (25-9-482),[budget] Green and Resilient Retrofit Program for Multifamily Housing (25-9-482),"{'budget_level': 'account', 'agency_code': 25, 'agency_name': 'Department of Housing and Urban Development', 'bureau_code': 9, 'bureau_name': 'Housing Programs', 'account_code': 482, 'account_name': 'Green and Resilient Retrofit Program for Multifamily Housing', '2019': 0, '2020': 0, '2021': 0, '2022': 0, '2023': 65000, '2024': 315000, 'name': 'Green and Resilient Retrofit Program for Multifamily Housing', 'id': '25-9-482'}"
/US FEDERAL GOVERNMENT/[budget] Department of Housing and Urban Development (25)/[budget] Housing Programs (25-9)/[budget] FHA-Mutual Mortgage Insurance Program (25-9-183),[budget] FHA-Mutual Mortgage Insurance Program (25-9-183),"{'budget_level': 'account', 'agency_code': 25, 'agency_name': 'Department of Housing and Urban Development', 'bureau_code': 9, 'bureau_name': 'Housing Programs', 'account_code': 183, 'account_name': 'FHA-Mutual Mortgage Insurance Program', '2019': 1379000, '2020': 1331000, '2021': 3095000, '2022': 1266000, '2023': 1932000, '2024': 148000, 'name': 'FHA-Mutual Mortgage Insurance Program', 'id': '25-9-183'}"
/US FEDERAL GOVERNMENT/[budget] Department of Housing and Urban Development (25)/[budget] Community Planning and Development (25-6),[budget] Community Planning and Development (25-6),"{'budget_level': 'bureau', 'agency_code': 25, 'agency_name': 'Department of Housing and Urban Development', 'bureau_code': 6, 'bureau_name': 'Community Planning and Development', '2019': 8787000, '2020': 8824000, '2021': 11488000, '2022': 13273000, '2023': 20284000, '2024': 23354000, 'name': 'Community Planning and Development', 'id': '25-6'}"
/US FEDERAL GOVERNMENT/[budget] Department of Housing and Urban Development (25)/[budget] Community Planning and Development (25-6)/[budget] Home Investment Partnership Program (25-6-205),[budget] Home Investment Partnership Program (25-6-205),"{'budget_level': 'account', 'agency_code': 25, 'agency_name': 'Department of Housing and Urban Development', 'bureau_code': 6, 'bureau_name': 'Community Planning and Development', 'account_code': 205, 'account_name': 'Home Investment Partnership Program', '2019': 939000, '2020': 827000, '2021': 863000, '2022': 867000, '2023': 2378000, '2024': 2623000, 'name': 'Home Investment Partnership Program', 'id': '25-6-205'}"
/US FEDERAL GOVERNMENT/[budget] Department of Housing and Urban Development (25)/[budget] Community Planning and Development (25-6)/[budget] Neighborhood Stabilization Program (25-6-344),[budget] Neighborhood Stabilization Program (25-6-344),"{'budget_level': 'account', 'agency_code': 25, 'agency_name': 'Department of Housing and Urban Development', 'bureau_code': 6, 'bureau_name': 'Community Planning and Development', 'account_code': 344, 'account_name': 'Neighborhood Stabilization Program', '2019': 20000, '2020': 19000, '2021': 15000, '2022': 12000, '2023': 17000, '2024': 15000, 'name': 'Neighborhood Stabilization Program', 'id': '25-6-344'}"
/US FEDERAL GOVERNMENT/[budget] Department of Housing and Urban Development (25)/[budget] Community Planning and Development (25-6)/[budget] Self-help and Assisted Homeownership Opportunity Program (25-6-176),[budget] Self-help and Assisted Homeownership Opportunity Program (25-6-176),"{'budget_level': 'account', 'agency_code': 25, 'agency_name': 'Department of Housing and Urban Development', 'bureau_code': 6, 'bureau_name': 'Community Planning and Development', 'account_code': 176, 'account_name': 'Self-help and Assisted Homeownership Opportunity Program', '2019': 41000, '2020': 45000, '2021': 46000, '2022': 42000, '2023': 60000, '2024': 70000, 'name': 'Self-help and Assisted Homeownership Opportunity Program', 'id': '25-6-176'}"
/US FEDERAL GOVERNMENT/[budget] Department of Housing and Urban Development (25)/[budget] Policy Development and Research (25-28),[budget] Policy Development and Research (25-28),"{'budget_level': 'bureau', 'agency_code': 25, 'agency_name': 'Department of Housing and Urban Development', 'bureau_code': 28, 'bureau_name': 'Policy Development and Research', '2019': 76000, '2020': 68000, '2021': 73000, '2022': 52000, '2023': 128000, '2024': 130000, 'name': 'Policy Development and Research', 'id': '25-28'}"
