cisagov_city,cisagov_domain_name,cisagov_domain_type,cisagov_match_threshold,cisagov_name,cisagov_parent,cisagov_security_contact_email,cisagov_state,opmgov_employment,opmgov_match_threshold,opmgov_name,opmgov_parent,opmgov_type,usagov_acronym,usagov_contact_0_link,usagov_contact_0_title,usagov_contact_1_link,usagov_contact_1_title,usagov_contact_2_link,usagov_contact_2_title,usagov_contact_3_link,usagov_contact_3_title,usagov_contact_4_link,usagov_contact_4_title,usagov_contact_5_link,usagov_contact_5_title,usagov_contact_6_link,usagov_contact_6_title,usagov_contact_7_link,usagov_contact_7_title,usagov_contact_8_link,usagov_contact_8_title,usagov_description,usagov_email_link,usagov_email_title,usagov_forms_link,usagov_forms_title,usagov_government_branch,usagov_local_offices_0_link,usagov_local_offices_0_title,usagov_local_offices_10_link,usagov_local_offices_10_title,usagov_local_offices_11_link,usagov_local_offices_11_title,usagov_local_offices_12_link,usagov_local_offices_12_title,usagov_local_offices_13_link,usagov_local_offices_13_title,usagov_local_offices_14_link,usagov_local_offices_14_title,usagov_local_offices_15_link,usagov_local_offices_15_title,usagov_local_offices_16_link,usagov_local_offices_16_title,usagov_local_offices_17_link,usagov_local_offices_17_title,usagov_local_offices_1_link,usagov_local_offices_1_title,usagov_local_offices_2_link,usagov_local_offices_2_title,usagov_local_offices_3_link,usagov_local_offices_3_title,usagov_local_offices_4_link,usagov_local_offices_4_title,usagov_local_offices_5_link,usagov_local_offices_5_title,usagov_local_offices_6_link,usagov_local_offices_6_title,usagov_local_offices_7_link,usagov_local_offices_7_title,usagov_local_offices_8_link,usagov_local_offices_8_title,usagov_local_offices_9_link,usagov_local_offices_9_title,usagov_main_address,usagov_name,usagov_parent,usagov_phone_number_0,usagov_phone_number_1,usagov_phone_number_2,usagov_sms_0,usagov_sms_1,usagov_toll_free_0,usagov_toll_free_1,usagov_toll_free_2,usagov_toll_free_3,usagov_tty_0,usagov_tty_1,usagov_tty_2,usagov_website_0_link,usagov_website_0_title,usagov_website_1_link,usagov_website_1_title,usagov_website_2_link,usagov_website_2_title,usagov_website_3_link,usagov_website_3_title,usagov_website_4_link,usagov_website_4_title
,,,,,,,,27,100,AFRICAN DEVELOPMENT FOUNDATION,AFRICAN DEVELOPMENT FOUNDATION,Small Independent Agencies (less than 100 employees),,http://www.usadf.gov/contact-us/,Contact the African Development Foundation,,,,,,,,,,,,,,,,,The African Development Foundation provides grants to community groups and small enterprises that benefit under-served and marginalized groups in Africa.,mailto:info@adf.gov,,,,Independent Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1400 I St., NW",African Development Foundation,,1-202-673-3916,,,,,,,,,,,,https://www.usadf.gov/,African Development Foundation,,,,,,,,
,,,,,,,,,,,,,,https://www.africom.mil/contact-us,Contact the Africa Command,,,,,,,,,,,,,,,,,The U.S. Africa Command strengthens the defense capabilities of African nations.,,,,,Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unit 29951,Africa Command,Unified Combatant Commands,1-314-430-1110,,,,,,,,,,,,https://www.africom.mil/,U.S. Africa Command,,,,,,,,
Washington,PRESERVEAMERICA.GOV,Federal - Executive,94,ACHP,Advisory Council on Historic Preservation,domainsecurity@achp.gov,DC,53,100,ADVISORY COUNCIL ON HISTORIC PRESERVATION,ADVISORY COUNCIL ON HISTORIC PRESERVATION,Small Independent Agencies (less than 100 employees),,https://www.achp.gov/contact/feedback,Contact the Advisory Council on Historic Preservation,,,,,,,,,,,,,,,,,The Advisory Council on Historic Preservation encourages the preservation of historic properties across the nation.,mailto:achp@achp.gov,,,,"Independent Board, Commission, Committee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"401 F St., NW",Advisory Council on Historic Preservation,,1-202-517-0200,,,,,,,,,,,,https://www.achp.gov/,Advisory Council on Historic Preservation,,,,,,,,
Washington,USPROBATION.GOV,Federal - Judicial,85,Administrative Office U.S. Courts,U.S. Courts,(blank),DC,,,,,,,https://www.uscourts.gov/contact-us,Contact the Administrative Office of the U.S. Courts,,,,,,,,,,,,,,,,,"The Administrative Office of the United States Courts handles the nonjudicial, administrative business of the United States Courts such as maintaining statistics and managing Court budgets.",,,https://www.uscourts.gov/services-forms/forms,National Federal Court Forms,Judicial,https://www.uscourts.gov/federal-court-finder/search,Court Locator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"One Columbus Circle, NE",Administrative Office of the U.S. Courts,,1-202-502-2600,,,,,,,,,,,,https://www.uscourts.gov/,Administrative Office of the U.S. Courts,,,,,,,,
,,,,,,,,,,,,,,https://www.acus.gov/directory/staff,Contact the Administrative Conference of the United States,,,,,,,,,,,,,,,,,The Administrative Conference of the United States is an independent federal agency dedicated to improving federal agency administrative processes and procedures.,mailto:info@acus.gov,,,,Independent Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1120 20th St., NW",Administrative Conference of the United States,,1-202-480-2080,,,,,,,,,,,,https://www.acus.gov/,Administrative Conference of the United States,,,,,,,,
,,,,,,,,,,,,,,https://www.acf.hhs.gov/ana/contact-information/ana-contact-information,Contact the Administration for Native Americans,,,,,,,,,,,,,,,,,"The Administration for Native Americans promotes self-sufficiency and cultural preservation for Native Americans by providing social and economic development opportunities through financial assistance, training, and technical assistance.",mailto:anacomments@acf.hhs.gov,,,,Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2nd Floor, West Aerospace Center",Administration for Native Americans,Administration for Children and Families,,,,,,1-877-922-9262,,,,,,,https://www.acf.hhs.gov/ana,Administration for Native Americans,,,,,,,,
Washington,WHITEHOUSECONFERENCEONAGING.GOV,Federal - Executive,97,Administration for Community Living,Department of Health and Human Services,responsibledisclosure@hhs.gov,DC,,,,,,,https://acl.gov/contact,Contact the Administration for Community Living,,,,,,,,,,,,,,,,,"The Administration for Community Living supports the needs of the aging and disability populations, and improves access health care and long-term services.",,,,,Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330 C St SW,Administration for Community Living,U.S. Department of Health and Human Services,202-401-4634,,,,,,,,,,,,https://acl.gov/,Administration for Community Living,,,,,,,,
Washington,GRANTSOLUTIONS.GOV,Federal - Executive,95,Administration for Children and Families,Department of Health and Human Services,domainabuse@grantsolutions.gov,DC,1318,95,ADMINISTRATION FOR CHILDREN AND FAMILIES,DEPARTMENT OF HEALTH AND HUMAN SERVICES,Cabinet Level Agencies,ACF,https://www.acf.hhs.gov/about/contact-us,Contact the Administration for Children and Families (ACF),https://www.acf.hhs.gov/css/map/state-and-tribal-child-support-agency-contacts,Child Support,https://www.acf.hhs.gov/ofa/help,Temporary Assistance for Needy Families (Welfare),https://www.childwelfare.gov/topics/responding/reporting/how/,Report Child Abuse and Neglect,https://www.acf.hhs.gov/ocs/low-income-home-energy-assistance-program-liheap,Low Income Home Energy Assistance Program (LIHEAP),https://www.acf.hhs.gov/ocs/map/liheap-map-state-and-territory-contact-listing,LIHEAP State and Territory Contacts (Energy Cost),https://www.acf.hhs.gov/ocs/map/liheap-map-tribal-contact-listing,LIHEAP Tribal Contacts (Energy Cost),,,,,"The Administration for Children and Families funds state, territory, local, and tribal organizations to provide family assistance (welfare), child support, child care, Head Start, child welfare, and other programs relating to children and families.",,,,,Executive Department Sub-Office/Agency/Bureau,https://eclkc.ohs.acf.hhs.gov/center-locator,Head Start Program Locator,,,,,,,,,,,,,,,,,https://www.acf.hhs.gov/oro,Child Support Enforcement in Your State,https://www.acf.hhs.gov/about/contact-us,Contact Regional Offices,,,,,,,,,,,,,,,"330 C St., SW",Administration for Children and Families (ACF),U.S. Department of Health and Human Services,1-202-401-9200,,,,,,,,,,,,https://www.acf.hhs.gov/,Administration for Children and Families (ACF),,,,,,,,
,,,,,,,,,,,,,,https://www.niams.nih.gov/about/contact-us,"Contact the National Institute of Arthritis, Musculoskeletal and Skin Diseases",https://www.niams.nih.gov/about/directory,Staff Phone Directory,,,,,,,,,,,,,,,"The National Institute of Arthritis and Musculoskeletal and Skin Diseases supports research into the causes, treatment, and prevention of arthritis, musculoskeletal, and skin diseases.",mailto:NIAMSinfo@mail.nih.gov,,,,Executive Department Sub-Office/Agency/Bureau,https://www.clinicaltrials.gov/,Find Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 AMS Circle,"Arthritis, Musculoskeletal and Skin Diseases, National Institute of ",National Institutes of Health,1-301-495-4484,,,,,1-877-22-NIAMS,,,,1-301-565-2966,,,https://www.niams.nih.gov/,"National Institute of Arthritis, Musculoskeletal and Skin Diseases",,,,,,,,
,,,,,,,,,,,,,,http://www.usace.army.mil/ContactUs/Pages/default.aspx,Contact the U.S. Army Corps of Engineers,,,,,,,,,,,,,,,,,"The Army Corps of Engineers provides public engineering services in peace and war to strengthen national security, energize the economy, and reduce risks from disasters.",mailto:hq-publicaffairs@usace.army.mil,,,,Executive Department Sub-Office/Agency/Bureau,http://www.usace.army.mil/Locations.aspx,Divisions and Districts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"441 G St., NW",Army Corps of Engineers,U.S. Army,1-202-761-0011,,,,,,,,,,,,http://www.usace.army.mil/,U.S. Army Corps of Engineers,,,,,,,,
,,,,,,,,,,,,,,https://www.army.mil/contact/,Contact the U.S. Army,,,,,,,,,,,,,,,,,"The U.S. Army organizes, trains, and equips active duty and Reserve forces to preserve the peace, security, and defense of the United States.",,,,,Executive Department Sub-Office/Agency/Bureau,https://www.goarmy.com/locate-a-recruiter.html,Army Recruiter Locator,,,,,,,,,,,,,,,,,https://installations.militaryonesource.mil/,Find Army Installations,,,,,,,,,,,,,,,,,The Pentagon,Army,U.S. Department of Defense,1-703-695-6518,,,,,,,,,,,,https://www.army.mil/,U.S. Army,,,,,,,,
,,,,,,,,,,,,,,https://register.state.gov/contactus/contactusform,Contact the under secretary of state for Arms Control and International Security,,,,,,,,,,,,,,,,,"The under secretary of state for Arms Control and International Security serves as senior adviser to the president and the secretary of state for arms control, nonproliferation, and disarmament.",,,https://eforms.state.gov/,Arms Control and International Security Forms,Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. Department of State,Arms Control and International Security,U.S. Department of State,1-202-647-4000,,,,,,,,,1-800-877-8339,,,https://www.state.gov/bureaus-offices/under-secretary-for-arms-control-and-international-security-affairs/,Arms Control and International Security,,,,,,,,
Washington,AFRH.GOV,Federal - Executive,100,Armed Forces Retirement Home,Armed Forces Retirement Home,Stanley.Whitehead@afrh.gov,DC,258,100,ARMED FORCES RETIREMENT HOME,ARMED FORCES RETIREMENT HOME,Medium Independent Agencies (100-999 employees),,https://www.afrh.gov/contactus,Contact the Armed Forces Retirement Home,,,,,,,,,,,,,,,,,The Gulfport and Washington campuses of the Armed Forces Retirement Home are retirement centers for veterans of the U.S. military.,mailto:Admissions@afrh.gov,,,,Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces Retirement Home,,1-202-541-7501,1-228-897-4418,,,,1-800-422-9988,1-800-422-9988,,,,,,http://www.afrh.gov/,Armed Forces Retirement Home,,,,,,,,
,,,,,,,,10,100,ARCTIC RESEARCH COMMISSION,ARCTIC RESEARCH COMMISSION,Small Independent Agencies (less than 100 employees),,https://www.arctic.gov/contact/,Contact the U.S. Arctic Research Commission,,,,,,,,,,,,,,,,,The U.S. Arctic Research Commission develops and recommends a national Arctic research policy.,mailto:info@arctic.gov,,,,"Independent Board, Commission, Committee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4350 N. Fairfax Dr.,Arctic Research Commission,,1-703-525-0111,,,,,,,,,,,,https://www.arctic.gov/,U.S. Arctic Research Commission,,,,,,,,
College Park,WEBHARVEST.GOV,Federal - Executive,86,National Archives and Records Administration,National Archives and Records Administration,security-vpd@nara.gov,MD,,,,,,NARA,https://www.archives.gov/contact,Contact the National Archives and Records Administration,,,,,,,,,,,,,,,,,"The National Archives and Records Administration preserves U.S. government records, manages the Presidential Libraries system, and publishes laws, regulations, Presidential, and other public documents.",,,https://www.archives.gov/forms,National Archives and Records Administration,Independent Agency,https://www.archives.gov/locations,"National Archives Facilities, by State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8601 Adelphi Rd.,"Archives, National Archives and Records Administration (NARA)",,,,,,,1-86-NARA-NARA,,,,711,,,https://www.archives.gov/,National Archives and Records Administration,,,,,,,,
,,,,,,,,,,,,,,https://www.aoc.gov/contact-form,Contact the Architect of the Capitol,,,,,,,,,,,,,,,,,"The Architect of the Capitol manages and maintains the U.S. Capitol, the Capitol Visitor Center, the Senate Office Buildings, the House Office Buildings, the Supreme Court Building, the Library of Congress, the U.S. Botanic Garden, and the Capitol Grounds",,,,,Legislative,https://www.visitthecapitol.gov/visit,Visit the Capitol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SB-15 U.S. Capitol,Architect of the Capitol,U.S. House of Representatives,1-202-228-1793,,,,,,,,,,,,https://www.aoc.gov/,Architect of the Capitol,https://www.capitol.gov/,Online Tour of the U.S. Capitol,,,,,,
Washington,ARC.GOV,Federal - Executive,94,ARC,Appalachian Regional Commission,(blank),DC,9,100,APPALACHIAN REGIONAL COMMISSION,APPALACHIAN REGIONAL COMMISSION,Small Independent Agencies (less than 100 employees),,https://www.arc.gov/contact-arc/,Contact the Appalachian Regional Commission,,,,,,,,,,,,,,,,,The Appalachian Regional Commission works for sustainable community and economic development in Appalachia.,mailto:info@arc.gov,,,,"Independent Board, Commission, Committee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1666 Connecticut Ave., NW",Appalachian Regional Commission,,1-202-884-7700,,,,,,,,,,,,https://www.arc.gov/,Appalachian Regional Commission,,,,,,,,
,,,,,,,,,,,,,,https://www.justice.gov/atr/contact-information,Contact the Antitrust Division,https://www.justice.gov/atr/antitrust-division-leadership-section-and-office-directory#page=page-1,Staff Telephone Directory,https://www.justice.gov/atr/citizen-complaint-center,Report Antitrust Concerns,,,,,,,,,,,,,The Antitrust Division promotes economic competition through enforcing and providing guidance on antitrust laws and principles.,mailto:antitrust.atr@usdoj.gov,,https://www.justice.gov/forms,Antitrust Division Forms,Executive Department Sub-Office/Agency/Bureau,https://www.justice.gov/atr/antitrust-division-leadership-section-and-office-directory#fo,Field Offices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"950 Pennsylvania Ave., NW",Antitrust Division,U.S. Department of Justice,,,,,,,,,,,,,https://www.justice.gov/atr,Antitrust Division,,,,,,,,
,,,,,,,,8635,93,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,DEPARTMENT OF AGRICULTURE,Cabinet Level Agencies,APHIS,https://www.aphis.usda.gov/aphis/banner/contactus,Contact the Animal and Plant Health Inspection Service,,,,,,,,,,,,,,,,,"The Animal and Plant Health Inspection Service protects and promotes U.S. agricultural health, regulates genetically engineered organisms, administers the Animal Welfare Act, and manages wildlife damage.",,,https://www.aphis.usda.gov/aphis/resources/forms,Animal and Plant Health Inspection Service Forms,Executive Department Sub-Office/Agency/Bureau,https://www.aphis.usda.gov/aphis/banner/contactus,Regional Offices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Animal and Plant Health Inspection Service,Animal and Plant Health Inspection Service (APHIS),U.S. Department of Agriculture,1-202-720-2511,,,,,,,,,,,,https://www.aphis.usda.gov/aphis/home/,Animal and Plant Health Inspection Service,,,,,,,,
,,,,,,,,,,,,,AMTRAK,https://www.amtrak.com/contact-us,Contact the National Railroad Passenger Corporation (AMTRAK),,,,,,,,,,,,,,,,,"Amtrak, the National Railroad Passenger Corporation, provides intercity rail passenger service.",,,,,Independent Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60 Massachusetts Ave., NE",Amtrak (AMTRAK),,1-202-906-3000,,,,,1-800-USA-RAIL,,,,1-800-523-6590,,,https://www.amtrak.com/home.html,National Railroad Passenger Corporation (AMTRAK),,,,,,,,
,,,,,,,,,,,,,,https://nationalservice.gov/about/contact-us,Contact AmeriCorps Seniors,https://www.nationalservice.gov/programs/senior-corps/get-involved/senior-corps-pathfinder,Find a Volunteer Opportunity Near You,,,,,,,,,,,,,,,"AmeriCorps Seniors is a network of volunteer programs for Americans 55 years and older. Volunteers work in their community doing academic tutoring and mentoring, elderly care, disaster relief, and more.",,,,,Independent Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"250 E St., SW",AmeriCorps Seniors,AmeriCorps,,,,,,1-800-942-2677,,,,,,,https://www.nationalservice.gov/programs/senior-corps,AmeriCorps Seniors,,,,,,,,
,,,,,,,,,,,,,,https://americorps.gov/contact,Contact AmeriCorps,,,,,,,,,,,,,,,,,"Formerly known as the Corporation for National and Community Service, AmeriCorps, and AmeriCorps Seniors engage volunteers in serving directly with nonprofit organizations to tackle the nation's most pressing challenges.",,,https://www.nationalservice.gov/programs/americorps/current-members/forms,AmeriCorps Forms,Independent Agency,https://americorps.gov/contact/region-offices,State Offices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"250 E Street, SW",AmeriCorps,,,,,,,1-800-942-2677,,,,,,,https://americorps.gov/,AmeriCorps,,,,,,,,
