path,name,budget_account_code,budget_account_name,budget_agency_code,budget_agency_name,budget_budget_level,budget_bureau_code,budget_bureau_name,budget_id,budget_name,budget_normalized_name,cisagov_name,cisagov_normalized_name,federalregister_agency_url,federalregister_child_ids,federalregister_child_slugs,federalregister_description,federalregister_id,federalregister_json_url,federalregister_logo_medium_url,federalregister_logo_small_url,federalregister_logo_thumb_url,federalregister_name,federalregister_normalized_name,federalregister_recent_articles_url,federalregister_short_name,federalregister_slug,federalregister_url,opmgov_employment,opmgov_id,opmgov_name,opmgov_normalized_name,opmgov_type,samgov_agencycode,samgov_cgaclist_0_cgac,samgov_cgaclist_1_cgac,samgov_cgaclist_2_cgac,samgov_cgaclist_3_cgac,samgov_cgaclist_4_cgac,samgov_createdby,samgov_createddate,samgov_fhagencyorgname,samgov_fhdeptindagencyorgid,samgov_fhorgid,samgov_fhorgname,samgov_fhorgnamehistory_0_effectivedate,samgov_fhorgnamehistory_0_fhorgname,samgov_fhorgparenthistory_0_actiontype,samgov_fhorgparenthistory_0_codehierarchy,samgov_fhorgparenthistory_0_effectivedate,samgov_fhorgparenthistory_0_fhfullparentpathid,samgov_fhorgparenthistory_0_fhfullparentpathname,samgov_fhorgtype,samgov_lastupdateddate,samgov_links_0_href,samgov_links_0_rel,samgov_links_1_href,samgov_links_1_rel,samgov_name,samgov_normalized_name,samgov_oldfpdsofficecode,samgov_status,samgov_updatedby,usagov_contact_0_link,usagov_contact_0_title,usagov_contact_1_link,usagov_contact_1_title,usagov_contact_2_link,usagov_contact_2_title,usagov_contact_3_link,usagov_contact_3_title,usagov_contact_4_link,usagov_contact_4_title,usagov_contact_5_link,usagov_contact_5_title,usagov_contact_6_link,usagov_contact_6_title,usagov_contact_7_link,usagov_contact_7_title,usagov_contact_8_link,usagov_contact_8_title,usagov_description,usagov_email_0_link,usagov_email_0_title,usagov_email_1_link,usagov_email_1_title,usagov_main_address_0,usagov_main_address_1,usagov_main_address_2,usagov_main_address_3,usagov_main_address_4,usagov_main_address_5,usagov_name,usagov_normalized_name,usagov_phone_number_0,usagov_phone_number_1,usagov_phone_number_2,usagov_toll-free_number_0,usagov_toll-free_number_1,usagov_toll-free_number_2,usagov_tty_0,usagov_tty_1,usagov_tty_2,usagov_website_0_link,usagov_website_0_title,usagov_website_1_link,usagov_website_1_title,usagov_website_2_link,usagov_website_2_title,usagov_website_3_link,usagov_website_3_title,usaspending_abbreviation,usaspending_active_fq,usaspending_active_fy,usaspending_agency_id,usaspending_agency_name,usaspending_agency_slug,usaspending_budget_authority_amount,usaspending_code,usaspending_congressional_justification_url,usaspending_current_total_budget_authority_amount,usaspending_id,usaspending_name,usaspending_new_award_count,usaspending_normalized_name,usaspending_obligated_amount,usaspending_outlay_amount,usaspending_percentage_of_total_budget_authority,usaspending_toptier_code,usaspending_total_obligations,usaspending_transaction_count,usgovmanual_addresses_0_email,usgovmanual_addresses_0_fax,usgovmanual_addresses_0_phone,usgovmanual_addresses_0_phone2,usgovmanual_addresses_0_url,usgovmanual_addresses_1_email,usgovmanual_addresses_1_fax,usgovmanual_addresses_1_phone,usgovmanual_addresses_1_url,usgovmanual_addresses_2_email,usgovmanual_addresses_2_phone,usgovmanual_addresses_2_url,usgovmanual_addresses_3_url,usgovmanual_addresses_4_url,usgovmanual_addresses_5_url,usgovmanual_category,usgovmanual_id,usgovmanual_introduction,usgovmanual_mission_statement_records_0_text,usgovmanual_mission_statement_records_1_note,usgovmanual_mission_statement_records_1_text,usgovmanual_name,usgovmanual_normalized_name,usgovmanual_organization_chart
/US FEDERAL GOVERNMENT/[budget] Presidio Trust (512),[budget] Presidio Trust (512),,,512,Presidio Trust,agency,,,512,Presidio Trust,Presidio Trust,Presidio Trust,Presidio Trust,,[],[],"The Presidio Trust's mission is to preserve and enhance the Presidio as an enduring resource for the American public. The Trust's work encompasses the natural areas, wildlife, and native habitats of the park, as well as the historic structures, and designed landscapes that make the park a National Historic Landmark District. The Presidio Trust is dedicated to ensuring that visitors to this spectacular place have the opportunity to gain a broader understanding of the Presidio, its place in American history, and the plants and wildlife which once thrived throughout the region.The Trust receives federal appropriations that diminish each year, and cease at the end of fiscal year 2012. The Trust uses these funds and lease revenues to rehabilitate the park's buildings, restore its open spaces and historic resources, provide programs for visitors, maintain utilities and infrastructure, and fund the Presidio's long-term care.The Presidio Trust is governed by a seven-member board of directors. Six members are appointed by the President of the United States. The seventh is the U.S. Secretary of the Interior or his/her designee.[http://www.presidio.gov/]",436,https://www.federalregister.gov/api/v1/agencies/436,https://agency-logos.federalregister.gov/436/medium.jpg?1279162090,https://agency-logos.federalregister.gov/436/small.jpg?1279162090,https://agency-logos.federalregister.gov/436/thumb.jpg?1279162090,Presidio Trust,Presidio Trust,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=436&order=newest,PT,presidio-trust,https://www.federalregister.gov/agencies/presidio-trust,340,PRESIDIO TRUST,PRESIDIO TRUST,Presidio Trust,Medium Independent Agencies (100-999 employees),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Presidio Trust preserves the Presidio National Park as an enduring resource for the American people.,mailto:presidio@presidiotrust.gov,,mailto:presidio@presidiotrust.gov,,103 Montgomery St.,P.O. Box 29052,"San Francisco,",CA,94129,,Presidio Trust,Presidio Trust,1-415-561-5418,,,,,,1-415-561-5301,,,http://www.presidio.gov,Presidio Trust,,,,,,,PRESIDIO,2,2023,1164,Presidio Trust,presidio-trust,626367582.18,,https://www.presidio.gov/presidio-trust/planning-internal/Shared%20Documents/Financial%20Documents/FIN-311-FY2022BudJust-20210602.pdf,13989327919708.82,512,Presidio Trust,,Presidio Trust,82776289.29,79805685.44,4.47746729346121e-05,512,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[budget] Southeast Crescent Regional Commission (574),[budget] Southeast Crescent Regional Commission (574),,,574,Southeast Crescent Regional Commission,agency,,,574,Southeast Crescent Regional Commission,Southeast Crescent Regional Commission,Southeast Crescent Regional Commission,Southeast Crescent Regional Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[budget] Department of Transportation (21),[budget] Department of Transportation (21),,,21,Department of Transportation,agency,,,21,Department of Transportation,Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.transportation.gov/contact-us,Contact the Department of Transportation,https://www.nhtsa.gov/report-a-safety-problem,File a Vehicle Safety Complaint,https://www.transportation.gov/airconsumer/file-consumer-complaint,File an Air Travel Complaint,,,,,,,,,,,,,The Department of Transportation is responsible for planning and coordinating federal transportation projects. It also sets safety regulations for all major modes of transportation.,mailto:dot.comments@dot.gov,,mailto:dot.comments@dot.gov,,"1200 New Jersey Ave., SE","Washington,",DC,20590,,,U.S. Department of Transportation,U.S. Department of Transportation,1-202-366-4000,,,1-855-368-4200,,,1-800-877-8339,,,https://www.transportation.gov,Department of Transportation (DOT),,,,,,,DOT,2,2023,731,Department of Transportation,department-of-transportation,251532577590.0,,https://www.transportation.gov/cj,13989327919708.82,069,Department of Transportation,,Department of Transportation,34031329219.75,46273728012.04,0.017980318928376045,069,,,,,202-366-4000,,http://www.dot.gov,,,,,,,,,,,Executive Branch: Departments,124,,"The Department of Transportation establishes national transportation policy for highway planning and construction, motor carrier safety, urban mass transit, railroads, aviation, and the safety of waterways, ports, highways, and pipelines.",,,Department of Transportation,Department of Transportation,
/US FEDERAL GOVERNMENT/[budget] Department of Justice (11),[budget] Department of Justice (11),,,11,Department of Justice,agency,,,11,Department of Justice,Department of Justice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOJ,2,2023,252,Department of Justice,department-of-justice,69186327396.71,,https://www.justice.gov/cj,13989327919708.82,015,Department of Justice,,Department of Justice,19039466795.38,19368999460.85,0.004945650555466433,015,,,,,202-514-2000,,http://www.justice.gov,,,,,,,,,,,Executive Branch: Departments,121,,The Department of Justice enforces the law and defends national interests according to the law; ensures public safety against domestic and foreign threats; provides Federal leadership in preventing and controlling crime; seeks just punishment for those who have behaved unlawfully; and ensures fair and impartial administration of justice for all American citizens.,,,Department of Justice,Department of Justice,
/US FEDERAL GOVERNMENT/[budget] Department of Veterans Affairs (29),[budget] Department of Veterans Affairs (29),,,29,Department of Veterans Affairs,agency,,,29,Department of Veterans Affairs,Department of Veterans Affairs,Department of Veterans Affairs,Department of Veterans Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.va.gov/contact-us/,,https://www.va.gov/contact-us/,Contact the Department of Veterans Affairs,,,,,,,,,,,,,,,"The Department of Veterans Affairs runs programs benefiting veterans and members of their families. It offers education opportunities and rehabilitation services and provides compensation payments for disabilities or death related to military service, home loan guaranties, pensions, burials, and health care that includes the services of nursing homes, clinics, and medical centers.",,,,,"810 Vermont Ave., NW","Washington,",DC,20420,,,U.S. Department of Veterans Affairs,U.S. Department of Veterans Affairs,,,,1-800-827-1000,,,1-800-829-4833,,,http://www.va.gov/,Department of Veterans Affairs (VA),,,,,,,VA,2,2023,561,Department of Veterans Affairs,department-of-veterans-affairs,376992538632.13,,https://www.va.gov/cj,13989327919708.82,036,Department of Veterans Affairs,,Department of Veterans Affairs,128933320299.14,109613865295.64,0.026948581146704356,036,,,,,202-461-4800,,http://www.va.gov,,,,,,,,,,,Executive Branch: Departments,126,,"The Department of Veterans Affairs operates programs benefiting Veterans and members of their families: It offers education opportunities and rehabilitation services and provides compensation payments for disabilities or death related to military service, home loan guaranties, pensions, burials, and health care that includes the services in clinics, medical centers, community living centers (which replace nursing home)s, and home- and community-based settings.",,,Department of Veterans Affairs,Department of Veterans Affairs,
/US FEDERAL GOVERNMENT/[budget] Office of Government Ethics (434),[budget] Office of Government Ethics (434),,,434,Office of Government Ethics,agency,,,434,Office of Government Ethics,Office of Government Ethics,Office of Government Ethics,Office of Government Ethics,,,,,,,,,,,,,,,,75,OFFICE OF GOVERNMENT ETHICS,OFFICE OF GOVERNMENT ETHICS,Office of Government Ethics,Small Independent Agencies (less than 100 employees),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.oge.gov/web/oge.nsf/about_contacts,Contact the Office of Government Ethics,https://www.oge.gov/web/oge.nsf/about_reporting-misconduct,Report Misconduct,,,,,,,,,,,,,,,"The Office of Government Ethics provides oversight, policy, and guidance to the Executive Branch regarding ethics laws and policies.",mailto:ContactOGE@oge.gov,,mailto:ContactOGE@oge.gov,,"1201 New York Ave., NW",Suite 500,"Washington,",DC,20005,,Office of Government Ethics,Office of Government Ethics,1-202-482-9300,,,,,,1-800-877-8339,,,https://www.oge.gov/,Office of Government Ethics,,,,,,,OGE,2,2023,1157,Office of Government Ethics,office-of-government-ethics,26475932.41,,https://www.oge.gov/cj,13989327919708.82,434,Office of Government Ethics,,Office of Government Ethics,8366886.37,8145130.46,1.8925807273914471e-06,434,,,,202-482-9237,202-482-9300,(TTY) 800-877-8339,http://www.oge.gov,,,,,,,,,,,Executive Branch: Independent Agencies and Government Corporations,166,,The Office of Government Ethics leads and oversees the executive branch program for preventing and resolving conflicts of interest.,,,Office of Government Ethics,Office of Government Ethics,
/US FEDERAL GOVERNMENT/[budget] Public Company Accounting Oversight Board (526),[budget] Public Company Accounting Oversight Board (526),,,526,Public Company Accounting Oversight Board,agency,,,526,Public Company Accounting Oversight Board,Public Company Accounting Oversight Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[budget] Access Board (310),[budget] Access Board (310),,,310,Access Board,agency,,,310,Access Board,Access Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USAB,2,2023,1146,Access Board,access-board,11471756.13,,https://www.access-board.gov/cj,13989327919708.82,310,Access Board,,Access Board,2890757.63,3624878.62,8.200362587710918e-07,310,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[budget] Railroad Retirement Board (446),[budget] Railroad Retirement Board (446),,,446,Railroad Retirement Board,agency,,,446,Railroad Retirement Board,Railroad Retirement Board,,,,[],[],"The Railroad Retirement Board administers comprehensive retirement-survivor and unemployment-sickness benefit programs for the Nation's railroad workers and their families.The Railroad Retirement Board was originally established by the Railroad Retirement Act of 1934, as amended (45 U.S.C. 201--228z-1).The Board derives statutory authority from the Railroad Retirement Act of 1974 (45 U.S.C. 231-231u) and the Railroad Unemployment Insurance Act (45 U.S.C. 351-369). It administers these acts and participates in the administration of the Social Security Act and the Health Insurance for the Aged Act insofar as they affect railroad retirement beneficiaries.",444,https://www.federalregister.gov/api/v1/agencies/444,,,,Railroad Retirement Board,Railroad Retirement Board,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=444&order=newest,RRB,railroad-retirement-board,https://www.federalregister.gov/agencies/railroad-retirement-board,967,RAILROAD RETIREMENT BOARD,RAILROAD RETIREMENT BOARD,Railroad Retirement Board,Medium Independent Agencies (100-999 employees),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.rrb.gov/ContactUs,,https://www.rrb.gov/ContactUs,Contact the Railroad Retirement Board,,,,,,,,,,,,,,,"The Railroad Retirement Board administers retirement, survivor, unemployment, and sickness benefits for U.S. railroad workers and their families.",,,,,844 North Rush St.,"Chicago,",IL,60611-2092,,,Railroad Retirement Board,Railroad Retirement Board,1-312-751-4300,,,1-877-772-5772,,,1-312-751-4701,,,https://rrb.gov/,Railroad Retirement Board (RRB),,,,,,,RRB,2,2023,693,Railroad Retirement Board,railroad-retirement-board,17054407097.27,,https://www.rrb.gov/cj,13989327919708.82,060,Railroad Retirement Board,,Railroad Retirement Board,7285797825.9,7091198619.7,0.0012191012459750088,060,,,opa@rrb.gov,312-751-7154,312-751-4777,,http://www.rrb.gov,,,,,,,,,,,Executive Branch: Independent Agencies and Government Corporations,173,,The Railroad Retirement Board administers comprehensive retirement-survivor and unemployment-sickness benefit programs for the Nation's railroad workers and their families.,,,Railroad Retirement Board,Railroad Retirement Board,
/US FEDERAL GOVERNMENT/[budget] Smithsonian Institution (452),[budget] Smithsonian Institution (452),,,452,Smithsonian Institution,agency,,,452,Smithsonian Institution,Smithsonian Institution,Smithsonian Institution,Smithsonian Institution,,[],[],"The Smithsonian Institution is an independent trust instrumentality of the United States which comprises the world's largest museum and research complex; includes 19 museums and galleries, the National Zoo, and research facilities in several States and the Republic of Panama; and is dedicated to public education, national service, and scholarship in the arts, sciences, history, and culture.The Smithsonian Institution was created by an act of Congress on August 10, 1846 (20 U.S.C. 41 et seq.), to carry out the terms of the will of British scientist James Smithson (1765-1829), who in 1826 had bequeathed his entire estate to the United States ``to found at Washington, under the name of the Smithsonian Institution, an establishment for the increase and diffusion of knowledge among men.'' On July 1, 1836, Congress accepted the legacy and pledged the faith of the United States to the charitable trust.",469,https://www.federalregister.gov/api/v1/agencies/469,https://agency-logos.federalregister.gov/469/medium.jpg?1279151430,https://agency-logos.federalregister.gov/469/small.jpg?1279151430,https://agency-logos.federalregister.gov/469/thumb.jpg?1279151430,Smithsonian Institution,Smithsonian Institution,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=469&order=newest,,smithsonian-institution,https://www.federalregister.gov/agencies/smithsonian-institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.si.edu/Contacts,,http://www.si.edu/Contacts,Contact the Smithsonian Institution,,,,,,,,,,,,,,,"The Smithsonian is the world's largest museum and research complex, with 19 museums and galleries, the National Zoo, and 9 research facilities.",mailto:info@si.edu,,mailto:info@si.edu,,PO Box 37012,"SI Building, Room 153, MRC 010","Washington,",DC,20013-7012,,Smithsonian Institution,Smithsonian Institution,1-202-633-1000,,,,,,1-202-633-5285,,,http://www.si.edu/,Smithsonian Institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202-633-1000,,http://www.si.edu,,,,,,,,,,,Quasi-Official Agencies,186,,The Smithsonian Institution increases the fund of human knowledge and diffuses that knowledge among people.,,,Smithsonian Institution,Smithsonian Institution,
/US FEDERAL GOVERNMENT/[budget] Nuclear Regulatory Commission (429),[budget] Nuclear Regulatory Commission (429),,,429,Nuclear Regulatory Commission,agency,,,429,Nuclear Regulatory Commission,Nuclear Regulatory Commission,Nuclear Regulatory Commission,Nuclear Regulatory Commission,https://www.nrc.gov/,[],[],"The Nuclear Regulatory Commission licenses and regulates civilian use of nuclear energy to protect public health and safety and the environment.

The Nuclear Regulatory Commission (NRC) was established as an independent regulatory agency under the provisions of the Energy Reorganization Act of 1974 (42 U.S.C. 5801 et seq.) and Executive Order 11834 of January 15, 1975. All licensing and related regulatory functions formerly assigned to the Atomic Energy Commission were transferred to the Commission.

The Commission's major program components are the Office of Nuclear Material Safety and Safeguards, the Office of Nuclear Reactor Regulation, the Office of Nuclear Security and Incident Response, and the Office of Nuclear Regulatory Research. Headquarters offices are located in suburban Maryland, and there are four regional offices.

The Commission ensures that the civilian uses of nuclear materials and facilities are conducted in a manner consistent with the public health and safety, environmental quality, national security, and the antitrust laws. Most of the Commission's effort is focused on regulating the use of nuclear energy to generate electric power.",383,https://www.federalregister.gov/api/v1/agencies/383,https://agency-logos.federalregister.gov/383/medium.png?1279151146,https://agency-logos.federalregister.gov/383/small.png?1279151146,https://agency-logos.federalregister.gov/383/thumb.png?1279151146,Nuclear Regulatory Commission,Nuclear Regulatory Commission,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=383&order=newest,NRC,nuclear-regulatory-commission,https://www.federalregister.gov/agencies/nuclear-regulatory-commission,4161,NUCLEAR REGULATORY COMMISSION,NUCLEAR REGULATORY COMMISSION,Nuclear Regulatory Commission,Large Independent Agencies (1000 or more employees),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRC,2,2023,554,Nuclear Regulatory Commission,nuclear-regulatory-commission,1422284702.21,,https://www.nrc.gov/cj,13989327919708.82,031,Nuclear Regulatory Commission,,Nuclear Regulatory Commission,315330705.7,354744720.28,0.00010166926605574944,031,,,opa.resource@nrc.gov,,301-415-7000,,http://www.nrc.gov,,,,,,,,,,,Executive Branch: Independent Agencies and Government Corporations,163,,The Nuclear Regulatory Commission licenses and regulates civilian use of nuclear energy to protect public health and safety and the environment.,,,Nuclear Regulatory Commission,Nuclear Regulatory Commission,https://govmanual.gpo.gov/ReadLibraryItem.ashx?SFN=UeeDO8j6e0foAIJwOjaco0y0X05aA+N5&SF=PAmu4nDRyaoCugTKvsXyXx/6G6ZqqOY1fk7ZHZboqk4=
/US FEDERAL GOVERNMENT/[budget] Federal Housing Finance Agency (537),[budget] Federal Housing Finance Agency (537),,,537,Federal Housing Finance Agency,agency,,,537,Federal Housing Finance Agency,Federal Housing Finance Agency,Federal Housing Finance Agency,Federal Housing Finance Agency,,[],[],"The Federal Housing Finance Agency (FHFA) was created on July 30, 2008, when the President signed into law the Housing and Economic Recovery Act of 2008. The Act created a world-class, empowered regulator with all of the authorities necessary to oversee vital components of our country's secondary mortgage markets - Fannie Mae, Freddie Mac, and the Federal Home Loan Banks. In addition, this law combined the staffs of the Office of Federal Housing Enterprise Oversight (OFHEO), the Federal Housing Finance Board (FHFB), and the GSE mission office at the Department of Housing and Urban Development (HUD). With a very turbulent market facing our nation, the strengthening of the regulatory and supervisory oversight of the 14 housing-related GSEs is imperative. The establishment of FHFA will promote a stronger, safer U.S. housing finance system. As of June 2008, the combined debt and obligations of these GSEs totaled $6.6 trillion, exceeding the total publicly held debt of the USA by $1.3 trillion. The GSEs also purchased or guaranteed 84% of new mortgages. Considering the impact of these GSEs on the U.S. economy and mortgage market, it is critical that we intensify our focus on oversight of Fannie Mae, Freddie Mac, and the Federal Home Loan Banks. 


FHFA is comprised of combined staffs of the former Office of Federal Housing Enterprise Oversight (OFHEO), the former Federal Housing Finance Board (FHFB), and the GSE mission office at the Department of Housing and Urban Development (HUD). ",174,https://www.federalregister.gov/api/v1/agencies/174,https://agency-logos.federalregister.gov/174/medium.png?1279149781,https://agency-logos.federalregister.gov/174/small.png?1279149781,https://agency-logos.federalregister.gov/174/thumb.png?1279149781,Federal Housing Finance Agency,Federal Housing Finance Agency,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=174&order=newest,FHFA,federal-housing-finance-agency,https://www.federalregister.gov/agencies/federal-housing-finance-agency,433,FEDERAL HOUSING FINANCE AGENCY,FEDERAL HOUSING FINANCE AGENCY,Federal Housing Finance Agency,Medium Independent Agencies (100-999 employees),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fhfa.gov/AboutUs/Contact,,https://www.fhfa.gov/AboutUs/Contact,Contact the Federal Housing Finance Agency,,,,,,,,,,,,,,,"The Federal Housing Finance Agency provides supervision, regulation, and housing mission oversight of Fannie Mae, Freddie Mac, and the Federal Home Loan Banks.",mailto:FHFAinfo@FHFA.gov,,mailto:FHFAinfo@FHFA.gov,,"400 7th St., SW","Washington,",DC,20024,,,Federal Housing Finance Agency,Federal Housing Finance Agency,1-202-649-3800,,,,,,,,,https://www.fhfa.gov/,Federal Housing Finance Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202-649-3800,,http://www.fhfa.gov,,,,,,,,,,,Executive Branch: Independent Agencies and Government Corporations,142,,The Federal Housing and Finance Agency ensures that the housing Government-Sponsored Enterprises operate safely and soundly and serve as a reliable source of liquidity and funding for housing finance and community investment.,,,Federal Housing Finance Agency,Federal Housing Finance Agency,https://govmanual.gpo.gov/ReadLibraryItem.ashx?SFN=e2PEWcM8fPYnsiTAhaXdag==&SF=PAmu4nDRyaoCugTKvsXyXx/6G6ZqqOY1fk7ZHZboqk4=
/US FEDERAL GOVERNMENT/[budget] Legal Services Corporation (385),[budget] Legal Services Corporation (385),,,385,Legal Services Corporation,agency,,,385,Legal Services Corporation,Legal Services Corporation,Legal Services Corporation,Legal Services Corporation,http://www.lsc.gov/,[],[],"The Legal Services Corporation (LSC) is a private, nonprofit corporation established by the Legal Services Act of 1974, as amended (42 U.S.C. 2996), to seek to ensure equal access to justice under the law for all Americans. LSC is headed by an 11-member Board of Directors, appointed by the President and confirmed by the Senate. By law, the Board is bipartisan; no more than six members may be of the same political party. LSC is funded through congressional appropriations and provides legal services through grants to independent local programs selected through a system of competition. 

",276,https://www.federalregister.gov/api/v1/agencies/276,https://agency-logos.federalregister.gov/276/medium.jpg?1279150811,https://agency-logos.federalregister.gov/276/small.jpg?1279150811,https://agency-logos.federalregister.gov/276/thumb.jpg?1279150811,Legal Services Corporation,Legal Services Corporation,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=276&order=newest,LSC,legal-services-corporation,https://www.federalregister.gov/agencies/legal-services-corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lsc.gov/about-lsc/contact-us,,https://www.lsc.gov/about-lsc/contact-us,Contact the Legal Services Corporation,,,,,,,,,,,,,,,"The Legal Services Corporation is an independent corporation founded by Congress that provides grant funds, training, and technical assistance to civil legal aid programs. The Corporation ensures low income individuals and families have access to quality legal aid.",mailto:info@lsc.gov,,mailto:info@lsc.gov,,"3333 K St., NW",3rd Floor,"Washington,",DC,20007-3522,,Legal Services Corporation,Legal Services Corporation,1-202-295-1500,,,,,,,,,https://www.lsc.gov/,Legal Services Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,202-337-6797,202-295-1500,,http://www.lsc.gov,,,,,,,,,,,Quasi-Official Agencies,185,,The Legal Services Corporation promotes equal access to justice and provides civil legal assistance to low-income persons.,,,Legal Services Corporation,Legal Services Corporation,
/US FEDERAL GOVERNMENT/[budget] Election Assistance Commission (525),[budget] Election Assistance Commission (525),,,525,Election Assistance Commission,agency,,,525,Election Assistance Commission,Election Assistance Commission,Election Assistance Commission,Election Assistance Commission,http://www.eac.gov/,[],[],"The U.S. Election Assistance Commission (EAC) was established by the Help America Vote Act of 2002 (HAVA). EAC is an independent, bipartisan commission charged with developing guidance to meet HAVA requirements, adopting voluntary voting system guidelines, and serving as a national clearinghouse of information about election administration. EAC also accredits testing laboratories and certifies voting systems, as well as audits the use of HAVA funds.

Other responsibilities include maintaining the national mail voter registration form developed in accordance with the National Voter Registration Act of 1993.",127,https://www.federalregister.gov/api/v1/agencies/127,https://agency-logos.federalregister.gov/127/medium.png?1620684477,https://agency-logos.federalregister.gov/127/small.png?1620684477,https://agency-logos.federalregister.gov/127/thumb.png?1620684477,Election Assistance Commission,Election Assistance Commission,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=127&order=newest,EAC,election-assistance-commission,https://www.federalregister.gov/agencies/election-assistance-commission,56,ELECTION ASSISTANCE COMMISSION,ELECTION ASSISTANCE COMMISSION,Election Assistance Commission,Small Independent Agencies (less than 100 employees),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAC,2,2023,1141,Election Assistance Commission,election-assistance-commission,173665079.83,,https://www.eac.gov/cj,13989327919708.82,525,Election Assistance Commission,,Election Assistance Commission,88177000.33,6777124.51,1.2414111730509407e-05,525,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[budget] National Oilheat Research Alliance (544),[budget] National Oilheat Research Alliance (544),,,544,National Oilheat Research Alliance,agency,,,544,National Oilheat Research Alliance,National Oilheat Research Alliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[budget] Corporation for Travel Promotion (580),[budget] Corporation for Travel Promotion (580),,,580,Corporation for Travel Promotion,agency,,,580,Corporation for Travel Promotion,Corporation for Travel Promotion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
