path,name,usgovmanual_addresses_0_email,usgovmanual_addresses_0_fax,usgovmanual_addresses_0_phone,usgovmanual_addresses_0_phone2,usgovmanual_addresses_0_url,usgovmanual_addresses_1_email,usgovmanual_addresses_1_fax,usgovmanual_addresses_1_phone,usgovmanual_addresses_1_url,usgovmanual_addresses_2_email,usgovmanual_addresses_2_phone,usgovmanual_category,usgovmanual_id,usgovmanual_mission_statement_records_0_text,usgovmanual_mission_statement_records_1_note,usgovmanual_mission_statement_records_1_text,usgovmanual_name,usgovmanual_organization_chart
/US FEDERAL GOVERNMENT/[usgovmanual] Federal Judicial Center (94),[usgovmanual] Federal Judicial Center (94),,,202-502-4000,,http://www.fjc.gov,,,,,,,Judicial Branch,94,The Federal Judicial Center is the judicial branch's agency for policy research and continuing education.,,,Federal Judicial Center,
/US FEDERAL GOVERNMENT/[usgovmanual] United States Sentencing Commission (95),[usgovmanual] United States Sentencing Commission (95),,,202-502-4500,,http://www.ussc.gov,,,,,,,Judicial Branch,95,The United States Sentencing Commission develops sentencing guidelines and policies for the Federal court system.,,,United States Sentencing Commission,https://govmanual.gpo.gov/ReadLibraryItem.ashx?SFN=UeeDO8j6e0f3YkfXddDmZNvArAB3FnlF&SF=PAmu4nDRyaoCugTKvsXyXx/6G6ZqqOY1fk7ZHZboqk4=
/US FEDERAL GOVERNMENT/[usgovmanual] The President (96),[usgovmanual] The President (96),,,,,,,,,,,,Executive Branch: The President,96,,,,The President,
/US FEDERAL GOVERNMENT/[usgovmanual] The Vice President (97),[usgovmanual] The Vice President (97),,,,,,,,,,,,Executive Branch: The President,97,,,,The Vice President,
/US FEDERAL GOVERNMENT/[usgovmanual] The Executive Office of the President (98),[usgovmanual] The Executive Office of the President (98),,,,,http://www.whitehouse.gov,,,,,,,Executive Branch: The President,98,,,,The Executive Office of the President,
/US FEDERAL GOVERNMENT/[usgovmanual] Department of Agriculture (322),[usgovmanual] Department of Agriculture (322),,,202-720-2791,,http://www.usda.gov,,,,,,,Executive Branch: Departments,322,"The Department of Agriculture develops agricultural markets, fights hunger and malnutrition, conserves natural resources, and ensures food quality standards.",,,Department of Agriculture,
/US FEDERAL GOVERNMENT/[usgovmanual] Department of Commerce (113),[usgovmanual] Department of Commerce (113),,,202-482-2000,,http://www.doc.gov,,,,,,,Executive Branch: Departments,113,"The Department of Commerce promotes the Nation's domestic and international trade, economic growth, and technological advancement by fostering free enterprise worldwide, supporting fair trade, compiling social and economic statistics, protecting Earth's physical resources, granting patents and registering trademarks, and assisting small and minority-owned businesses.",,,Department of Commerce,
/US FEDERAL GOVERNMENT/[usgovmanual] Department of Defense (114),[usgovmanual] Department of Defense (114),,,703-545-6700,,http://www.defense.gov,,,,,,,Executive Branch: Departments,114,"The Department of Defense provides the military forces needed to deter war and protect national security. Under the President, the Secretary of Defense directs and exercises authority and control over the separately organized Departments of the Air Force, the Army, and the Navy; over the Joint Chiefs of Staff; over the combatant commands; and over defense agencies and field activities.",,,Department of Defense,https://govmanual.gpo.gov/ReadLibraryItem.ashx?SFN=MFGokbhL0zHYvSS27Jckr4hUJH1AH3dF&SF=PAmu4nDRyaoCugTKvsXyXx/6G6ZqqOY1fk7ZHZboqk4=
/US FEDERAL GOVERNMENT/[usgovmanual] Department of Education (115),[usgovmanual] Department of Education (115),,,202-401-2000,"TTY, 800-437-0833",http://www.ed.gov,,,,,,,Executive Branch: Departments,115,"The Department of Education ensures equal access to education; promotes educational excellence; and administers, coordinates, and makes policy for most Federal assistance to education with the aim of raising levels of student achievement and readiness for the global future.",,,Department of Education,https://govmanual.gpo.gov/ReadLibraryItem.ashx?SFN=UeeDO8j6e0c+Ai1j6CkL9YQ/sx+HS5Kw&SF=PAmu4nDRyaoCugTKvsXyXx/6G6ZqqOY1fk7ZHZboqk4=
/US FEDERAL GOVERNMENT/[usgovmanual] Department of Energy (116),[usgovmanual] Department of Energy (116),,,202-586-5000,,http://www.energy.gov,,,,,,,Executive Branch: Departments,116,"The Department of Energy addresses the Nation's energy, environmental, and nuclear challenges, using transformative science and technology to ensure national security and prosperity.",,,Department of Energy,
/US FEDERAL GOVERNMENT/[usgovmanual] Department of Health and Human Services (117),[usgovmanual] Department of Health and Human Services (117),,,202-690-6343,,http://www.hhs.gov,,,,,,,Executive Branch: Departments,117,"The Department of Health and Human Services strengthens the public health and welfare of the American people by making affordable and quality health care and childcare accessible, ensuring the safety of food products, preparing for public health emergencies, and advancing the diagnosis, treatment, and curing of life-threatening illnesses.",,,Department of Health and Human Services,
/US FEDERAL GOVERNMENT/[usgovmanual] Department of Homeland Security (118),[usgovmanual] Department of Homeland Security (118),,,202-282-8000,,http://www.dhs.gov,,,,,,,Executive Branch: Departments,118,"The Department of Homeland Security prevents terrorism and enhances security, manages the Nation’s borders, administers immigration laws, safeguards cyberspace, and ensures resilience in the wake of disaster.",,,Department of Homeland Security,
/US FEDERAL GOVERNMENT/[usgovmanual] Department of Housing and Urban Development (119),[usgovmanual] Department of Housing and Urban Development (119),,,202-708-1422,,http://www.hud.gov,,,,,,,Executive Branch: Departments,119,"The Department of Housing and Urban Development oversees housing needs nationwide, ensures fair housing opportunities, and creates strong, sustainable, and inclusive communities.",,,Department of Housing and Urban Development,
/US FEDERAL GOVERNMENT/[usgovmanual] Department of Justice (121),[usgovmanual] Department of Justice (121),,,202-514-2000,,http://www.justice.gov,,,,,,,Executive Branch: Departments,121,The Department of Justice enforces the law and defends national interests according to the law; ensures public safety against domestic and foreign threats; provides Federal leadership in preventing and controlling crime; seeks just punishment for those who have behaved unlawfully; and ensures fair and impartial administration of justice for all American citizens.,,,Department of Justice,
/US FEDERAL GOVERNMENT/[usgovmanual] Department of Labor (323),[usgovmanual] Department of Labor (323),,,202-693-6000,,http://www.dol.gov,,,,,,,Executive Branch: Departments,323,"The Department of Labor promotes the welfare of job seekers, wage earners, and retirees by improving working conditions, advancing opportunities for profitable employment, protecting retirement and health care benefits, matching workers to employers, strengthening free collective bargaining, and tracking changes in economic indicators on a national scale.",,,Department of Labor,
/US FEDERAL GOVERNMENT/[usgovmanual] Department of State (123),[usgovmanual] Department of State (123),,,202-647-4000,,http://www.state.gov,,,,,,,Executive Branch: Departments,123,"The Department of State advises the President on issues of foreign policy; supports democracy, freedom, and prosperity for all people; and fosters conditions that favor stability and progress worldwide.",,,Department of State,
/US FEDERAL GOVERNMENT/[usgovmanual] Department of Transportation (124),[usgovmanual] Department of Transportation (124),,,202-366-4000,,http://www.dot.gov,,,,,,,Executive Branch: Departments,124,"The Department of Transportation establishes national transportation policy for highway planning and construction, motor carrier safety, urban mass transit, railroads, aviation, and the safety of waterways, ports, highways, and pipelines.",,,Department of Transportation,
/US FEDERAL GOVERNMENT/[usgovmanual] Department of Veterans Affairs (126),[usgovmanual] Department of Veterans Affairs (126),,,202-461-4800,,http://www.va.gov,,,,,,,Executive Branch: Departments,126,"The Department of Veterans Affairs operates programs benefiting Veterans and members of their families: It offers education opportunities and rehabilitation services and provides compensation payments for disabilities or death related to military service, home loan guaranties, pensions, burials, and health care that includes the services in clinics, medical centers, community living centers (which replace nursing home)s, and home- and community-based settings.",,,Department of Veterans Affairs,
/US FEDERAL GOVERNMENT/[usgovmanual] Department of the Interior (120),[usgovmanual] Department of the Interior (120),,,202-208-3100,,http://www.doi.gov,,,,,,,Executive Branch: Departments,120,"The Department of the Interior protects America's heritage and natural resources, honors its cultures and tribal communities, and supplies energy for powering its future.",,,Department of the Interior,
/US FEDERAL GOVERNMENT/[usgovmanual] Department of the Treasury (125),[usgovmanual] Department of the Treasury (125),,,202-622-2000,,http://www.treasury.gov,,,,,,,Executive Branch: Departments,125,"The Department of the Treasury enforces financial laws, manufactures coins and currency, and recommends economic, fiscal, and tax policies.",,,Department of the Treasury,
/US FEDERAL GOVERNMENT/[usgovmanual] Administrative Conference of the United States (127),[usgovmanual] Administrative Conference of the United States (127),info@acus.gov,202-386-7190,202-480-2080,,http://www.acus.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,127,"The Administrative Conference of the United States develops recommendations for improving the fairness and effectiveness of procedures by which Federal agencies administer regulatory, benefit, and other Government programs.",,,Administrative Conference of the United States,
/US FEDERAL GOVERNMENT/[usgovmanual] Central Intelligence Agency (130),[usgovmanual] Central Intelligence Agency (130),,,703-482-0623,,http://www.cia.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,130,"The Central Intelligence Agency collects, evaluates, and disseminates vital information on economic, military, political, scientific, and other developments abroad to safeguard national security.",,,Central Intelligence Agency,
/US FEDERAL GOVERNMENT/[usgovmanual] Commodity Futures Trading Commission (131),[usgovmanual] Commodity Futures Trading Commission (131),,202-418-5521,202-418-5000,202-418-5514 (TTY),http://www.cftc.gov/index.htm,,,,,,,Executive Branch: Independent Agencies and Government Corporations,131,"The Commodity Futures Trading Commission avoids systemic risk; fosters open, transparent, competitive, and financially sound markets; and protects the market users and their funds, consumers, and the public from fraud, manipulation, and abusive practices related to derivatives and other products that are subject to the Commodity Exchange Act.",,,Commodity Futures Trading Commission,
/US FEDERAL GOVERNMENT/[usgovmanual] Consumer Product Safety Commission (132),[usgovmanual] Consumer Product Safety Commission (132),,,301-504-7923,,http://www.cpsc.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,132,The Consumer Product Safety Commission protects the public by reducing the risk of injury and death from consumer products.,,,Consumer Product Safety Commission,
/US FEDERAL GOVERNMENT/[usgovmanual] Consumer Financial Protection Bureau (321),[usgovmanual] Consumer Financial Protection Bureau (321),,,202-435-7000,,http://www.consumerfinance.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,321,"The Consumer Financial Protection Bureau (CFPB) helps consumer finance markets work by making rules more effective, by consistently and fairly enforcing those rules, and by empowering consumers to take more control over their economic lives.",,,Consumer Financial Protection Bureau,
/US FEDERAL GOVERNMENT/[usgovmanual] Corporation for National and Community Service (133),[usgovmanual] Corporation for National and Community Service (133),,,202-606-5000,,http://www.nationalservice.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,133,"The Corporation for National and Community Service improves lives, strengthens communities, and fosters civic engagement through service and volunteering.",,,Corporation for National and Community Service,https://govmanual.gpo.gov/ReadLibraryItem.ashx?SFN=y077IoFAxQNZbTBZKJuluQ==&SF=PAmu4nDRyaoCugTKvsXyXx/6G6ZqqOY1fk7ZHZboqk4=
/US FEDERAL GOVERNMENT/[usgovmanual] Environmental Protection Agency (135),[usgovmanual] Environmental Protection Agency (135),,,202-272-0167,,http://www.epa.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,135,The Environmental Protection Agency protects human health and safeguards the environment.,,,Environmental Protection Agency,
/US FEDERAL GOVERNMENT/[usgovmanual] Defense Nuclear Facilities Safety Board (134),[usgovmanual] Defense Nuclear Facilities Safety Board (134),,202-208-6518,202-694-7000,,http://www.dnfsb.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,134,"The Defense Nuclear Facilities Safety Board identifies the nature and consequences of public health and safety threats at the Department of Energy's defense nuclear facilities, elevates awareness of and information on such threats to the highest levels of governmental authority, and keeps the public informed.",,,Defense Nuclear Facilities Safety Board,https://govmanual.gpo.gov/ReadLibraryItem.ashx?SFN=At4EOm/9ZOe90DnlyDX00rObAXOcoiXa&SF=PAmu4nDRyaoCugTKvsXyXx/6G6ZqqOY1fk7ZHZboqk4=
/US FEDERAL GOVERNMENT/[usgovmanual] Equal Employment Opportunity Commission (136),[usgovmanual] Equal Employment Opportunity Commission (136),,,202-663-4900,"TTY, 202-663-4444",http://www.eeoc.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,136,"The Equal Employment Opportunity Commission enforces laws that prohibit employment discrimination based on age, color, disability, gender, genetic information, national origin, race, or religion.",,,Equal Employment Opportunity Commission,
/US FEDERAL GOVERNMENT/[usgovmanual] Export-Import Bank of the United States (137),[usgovmanual] Export-Import Bank of the United States (137),,,202-565-3946,800-565-3946,http://www.exim.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,137,The Export-Import Bank helps finance the export of U.S. goods and services to international markets.,,,Export-Import Bank of the United States,
/US FEDERAL GOVERNMENT/[usgovmanual] Farm Credit Administration (138),[usgovmanual] Farm Credit Administration (138),,703-790-3260,703-883-4000,,http://www.fca.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,138,"The Farm Credit Administration ensures the safe and sound operation of the banks, associations, affiliated service organizations, and other entities of the Farm Credit System, and protects the interests of the public and those who borrow from Farm Credit institutions or invest in Farm Credit securities.",,,Farm Credit Administration,
/US FEDERAL GOVERNMENT/[usgovmanual] Federal Communications Commission (139),[usgovmanual] Federal Communications Commission (139),,,888-225-5322,"TTY, 888-835-5322",http://www.fcc.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,139,"The Federal Communications Commission regulates interstate and foreign communications by radio, television, wire, satellite, and cable.",,,Federal Communications Commission,
/US FEDERAL GOVERNMENT/[usgovmanual] Federal Deposit Insurance Corporation (140),[usgovmanual] Federal Deposit Insurance Corporation (140),,,703-562-2222,,http://www.fdic.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,140,"The Federal Deposit Insurance Corporation preserves and promotes public confidence in U.S. financial institutions by insuring bank and thrift deposits, examining State-chartered banks, and liquidating assets of failed institutions.",,,Federal Deposit Insurance Corporation,
/US FEDERAL GOVERNMENT/[usgovmanual] Federal Election Commission (141),[usgovmanual] Federal Election Commission (141),,,202-694-1100,800-424-9530,http://www.fec.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,141,The Federal Election Commission provides public disclosure of campaign finance activities and ensures compliance with campaign finance laws and regulations.,,,Federal Election Commission,https://govmanual.gpo.gov/ReadLibraryItem.ashx?SFN=JADaez/w7l7ulLcekP4Z7Q==&SF=PAmu4nDRyaoCugTKvsXyXx/6G6ZqqOY1fk7ZHZboqk4=
/US FEDERAL GOVERNMENT/[usgovmanual] Federal Labor Relations Authority (143),[usgovmanual] Federal Labor Relations Authority (143),,,202-218-7770,,http://www.flra.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,143,The Federal Labor Relations Authority oversees labor-management relations between the Federal Government and its employees.,,,Federal Labor Relations Authority,
/US FEDERAL GOVERNMENT/[usgovmanual] Federal Housing Finance Agency (142),[usgovmanual] Federal Housing Finance Agency (142),,,202-649-3800,,http://www.fhfa.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,142,The Federal Housing and Finance Agency ensures that the housing Government-Sponsored Enterprises operate safely and soundly and serve as a reliable source of liquidity and funding for housing finance and community investment.,,,Federal Housing Finance Agency,https://govmanual.gpo.gov/ReadLibraryItem.ashx?SFN=e2PEWcM8fPYnsiTAhaXdag==&SF=PAmu4nDRyaoCugTKvsXyXx/6G6ZqqOY1fk7ZHZboqk4=
/US FEDERAL GOVERNMENT/[usgovmanual] Federal Maritime Commission (144),[usgovmanual] Federal Maritime Commission (144),,,202-523-5707,,http://www.fmc.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,144,"The Federal Maritime Commission promotes an efficient, fair, and reliable supply system of international ocean transportation; protects the public from deceptive, unfair, and unlawful practices; and contributes to the integrity and security of the Nation's supply chain and transportation system.",,,Federal Maritime Commission,
/US FEDERAL GOVERNMENT/[usgovmanual] Federal Mine Safety and Health Review Commission (146),[usgovmanual] Federal Mine Safety and Health Review Commission (146),fmshrc@fmshrc.gov,,202-434-9900,"TTY/TDD, 202-434-4000, ext. 293",http://www.fmshrc.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,146,"The Federal Mine Safety and Health Review Commission ensures compliance with occupational safety and health standards in the Nation's surface and underground coal, metal, and nonmetal mines.",,,Federal Mine Safety and Health Review Commission,
/US FEDERAL GOVERNMENT/[usgovmanual] Federal Mediation and Conciliation Service (145),[usgovmanual] Federal Mediation and Conciliation Service (145),,,202-606-8100,,http://www.fmcs.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,145,"The Federal Mediation and Conciliation Service helps labor and management resolve disputes in industries affecting commerce, offers training in cooperative processes to promote workplace stability and economic growth, and provides alternative dispute resolution services, training, negotiated rulemaking, and public policy facilitation to government entities.",,,Federal Mediation and Conciliation Service,
/US FEDERAL GOVERNMENT/[usgovmanual] Federal Reserve System (147),[usgovmanual] Federal Reserve System (147),,,202-452-3000,,http://www.federalreserve.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,147,"The Federal Reserve System keeps the Nation's monetary and financial system flexible, safe, and stable.",,,Federal Reserve System,
/US FEDERAL GOVERNMENT/[usgovmanual] Federal Retirement Thrift Investment Board (148),[usgovmanual] Federal Retirement Thrift Investment Board (148),,202-942-1676,202-942-1600,,http://www.frtib.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,148,The Federal Retirement Thrift Investment Board administers the Thrift Savings Plan in the interest of its participants and beneficiaries.,,,Federal Retirement Thrift Investment Board,
/US FEDERAL GOVERNMENT/[usgovmanual] Federal Trade Commission (149),[usgovmanual] Federal Trade Commission (149),,,202-326-2222,,http://www.ftc.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,149,"The Federal Trade Commission protects America's consumers and enforces laws prohibiting anticompetitive, deceptive, or unfair business practices.",,,Federal Trade Commission,
/US FEDERAL GOVERNMENT/[usgovmanual] General Services Administration (150),[usgovmanual] General Services Administration (150),,,,,http://www.gsa.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,150,"The General Services Administration delivers value and savings in real estate, acquisition, technology, and other mission-support services across Government.",,,General Services Administration,
/US FEDERAL GOVERNMENT/[usgovmanual] Inter-American Foundation (151),[usgovmanual] Inter-American Foundation (151),,,202-360-4530,,http://www.iaf.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,151,The Inter-American Foundation supports social and economic development in Latin America and the Caribbean.,,,Inter-American Foundation,
/US FEDERAL GOVERNMENT/[usgovmanual] National Aeronautics and Space Administration (153),[usgovmanual] National Aeronautics and Space Administration (153),,,202-358-0000,,http://www.nasa.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,153,"The National Aeronautics and Space Administration advances aeronautic research, explores space, and makes scientific discoveries for the benefit of humankind.",,,National Aeronautics and Space Administration,
/US FEDERAL GOVERNMENT/[usgovmanual] Merit Systems Protection Board (152),[usgovmanual] Merit Systems Protection Board (152),,202-653-7130,202-653-7200,800-209-8960,http://www.mspb.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,152,The Merit Systems Protection Board protects the integrity of the Federal personnel merit systems and the rights of Federal employees.,,,Merit Systems Protection Board,https://govmanual.gpo.gov/ReadLibraryItem.ashx?SFN=UeeDO8j6e0cCYyxW8XdgBi4sgZTtyjaa&SF=PAmu4nDRyaoCugTKvsXyXx/6G6ZqqOY1fk7ZHZboqk4=
/US FEDERAL GOVERNMENT/[usgovmanual] National Archives and Records Administration (154),[usgovmanual] National Archives and Records Administration (154),,,866-272-6272,,http://www.archives.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,154,"The National Archives and Records Administration safeguards and preserves the records of the U.S. Government and provides public access to them, ensuring that the American people can discover, learn from, and use their documentary heritage to support democracy.",,,National Archives and Records Administration,
/US FEDERAL GOVERNMENT/[usgovmanual] National Capital Planning Commission (155),[usgovmanual] National Capital Planning Commission (155),,,202-482-7200,,http://www.ncpc.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,155,"The National Capital Planning Commission conducts planning and development activities for Federal lands and facilities in the National Capital Region—the District of Columbia, the City of Alexandria, and all land areas within the boundaries of Montgomery, Prince George's, Fairfax, Loudoun, Prince William, and Arlington Counties.",,,National Capital Planning Commission,https://govmanual.gpo.gov/ReadLibraryItem.ashx?SFN=UeeDO8j6e0dtFMMfYbeF6agwRUpUi/tr&SF=PAmu4nDRyaoCugTKvsXyXx/6G6ZqqOY1fk7ZHZboqk4=
/US FEDERAL GOVERNMENT/[usgovmanual] National Credit Union Administration (156),[usgovmanual] National Credit Union Administration (156),,,703-518-6300,,http://www.ncua.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,156,The National Credit Union Administration provides a trustworthy credit union system that builds confidence in the Nation's system of cooperative credit.,,,National Credit Union Administration,
/US FEDERAL GOVERNMENT/[usgovmanual] National Foundation on the Arts and the Humanities (157),[usgovmanual] National Foundation on the Arts and the Humanities (157),,,,,,,,,,,,Executive Branch: Independent Agencies and Government Corporations,157,,,,National Foundation on the Arts and the Humanities,
/US FEDERAL GOVERNMENT/[usgovmanual] National Labor Relations Board (158),[usgovmanual] National Labor Relations Board (158),,,202-273-1000,"TDD, 202-273-4300",http://www.nlrb.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,158,The National Labor Relations Board remedies unfair labor practices and safeguards employees' rights to organize and to determine whether to have unions as their bargaining representative.,,,National Labor Relations Board,
/US FEDERAL GOVERNMENT/[usgovmanual] National Railroad Passenger Corporation (AMTRAK) (160),[usgovmanual] National Railroad Passenger Corporation (AMTRAK) (160),,,202-906-3000,,http://www.amtrak.com,,,,,,,Executive Branch: Independent Agencies and Government Corporations,160,The National Railroad Passenger Corporation provides intercity rail passenger service in the United States.,,,National Railroad Passenger Corporation (AMTRAK),
/US FEDERAL GOVERNMENT/[usgovmanual] National Mediation Board (159),[usgovmanual] National Mediation Board (159),,,202-692-5000,,http://www.nmb.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,159,The National Mediation Board facilitates labor-management relations within the railroad and airline industries.,,,National Mediation Board,https://govmanual.gpo.gov/ReadLibraryItem.ashx?SFN=VfUPe7zJomch1pvVoPQPSQ==&SF=PAmu4nDRyaoCugTKvsXyXx/6G6ZqqOY1fk7ZHZboqk4=
/US FEDERAL GOVERNMENT/[usgovmanual] National Science Foundation (161),[usgovmanual] National Science Foundation (161),info@nsf.gov,,703-292-5111,"TDD, 800-281-8749",http://www.nsf.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,161,The National Science Foundation supports research and education to advance science and engineering.,,,National Science Foundation,
/US FEDERAL GOVERNMENT/[usgovmanual] National Transportation Safety Board (162),[usgovmanual] National Transportation Safety Board (162),,,202-314-6000,,http://www.ntsb.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,162,"The National Transportation Safety Board investigates accidents, conducts studies, and makes recommendations on safety to Government agencies, the transportation industry, and others.",,,National Transportation Safety Board,
/US FEDERAL GOVERNMENT/[usgovmanual] Nuclear Regulatory Commission (163),[usgovmanual] Nuclear Regulatory Commission (163),opa.resource@nrc.gov,,301-415-7000,,http://www.nrc.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,163,The Nuclear Regulatory Commission licenses and regulates civilian use of nuclear energy to protect public health and safety and the environment.,,,Nuclear Regulatory Commission,https://govmanual.gpo.gov/ReadLibraryItem.ashx?SFN=UeeDO8j6e0foAIJwOjaco0y0X05aA+N5&SF=PAmu4nDRyaoCugTKvsXyXx/6G6ZqqOY1fk7ZHZboqk4=
/US FEDERAL GOVERNMENT/[usgovmanual] Occupational Safety and Health Review Commission (164),[usgovmanual] Occupational Safety and Health Review Commission (164),,202-418-3017,202-606-5100,,http://www.oshrc.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,164,The Occupational Safety and Health Review Commission ensures the timely and fair resolution of cases involving the alleged exposure of American workers to unsafe or unhealthy working conditions.,,,Occupational Safety and Health Review Commission,
